Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
55,1,307.7189,0,437,2761,2975,4263,508,-15,200,1,1,308.9414,1,2,735935.413283784,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
56,0,315.9333,1,437,2761,2975,4263,502,-12.8,200,1,1,318.7961,1,3,735935.413378858,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
57,0,326.0484,1,936,1551,2975,4263,509,-12.8,200,0,1,330.2636,0,1,735935.413495931,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
58,1,334.2788,1,936,1551,2975,4263,509,-12.8,200,0,0,336.2141,1,1,735935.41359119,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
59,0,339.6632,0,936,1551,2975,4263,510,-15,200,0,0,340.5428,1,0,735935.413653509,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
60,0,344.0896,1,437,2761,2975,4263,501,-15,200,1,0,347.4952,0,0,735935.413704741,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
61,1,351.1159,0,437,2761,2975,4263,501,-15,200,1,1,352.4402,1,0,735935.413786064,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
62,0,353.9794,0,437,2761,2975,4263,506,-15,200,1,1,355.6246,1,3,735935.413819206,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
63,0,358.5716,1,936,1551,2975,4263,504,-8.3,200,0,0,360.5685,1,2,735935.413872357,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
64,0,363.4945,1,437,2761,2975,4263,508,-15,200,1,1,368.2398,1,1,735935.413929334,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
65,0,370.8064,0,437,2761,2975,4263,507,-15,200,1,1,372.4114,1,5,735935.414013963,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
66,0,383.173,0,437,2761,2975,4263,501,-8.3,200,1,0,383.9247,0,0,735935.414157095,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
67,1,385.7727,0,437,2761,2975,4263,501,-8.3,200,1,0,386.5612,0,0,735935.414187184,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
68,1,388.7166,1,437,2761,2975,4263,501,-8.3,200,1,1,391.4765,1,0,735935.414221257,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
69,0,393.6447,0,437,2761,2975,4263,509,-6,200,1,1,395.14,1,1,735935.414278295,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
70,0,397.5488,1,437,2761,2975,4263,511,-6,200,1,1,400.9505,1,0,735935.414323481,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
71,0,410.4149,0,936,1551,2975,4263,502,-8.3,200,0,0,411.2813,1,4,735935.414472395,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
72,0,414.3878,1,437,2761,2975,4263,505,-6,200,1,1,418.7617,1,4,735935.414518377,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
73,0,420.1585,0,936,1551,2975,4263,503,-10.5,200,0,0,420.9186,1,4,735935.414585168,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
74,0,424.4416,1,437,2761,2975,4263,501,-6,200,1,0,428.5453,0,0,735935.414634741,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
75,1,432.6288,0,437,2761,2975,4263,501,-6,200,1,1,434.1212,1,0,735935.4147295,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
76,0,441.3997,1,437,2761,2975,4263,507,-6,200,1,1,452.4932,1,1,735935.414831015,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
77,0,456.7664,1,936,1551,2975,4263,509,-15,200,0,0,465.2522,1,4,735935.41500887,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
