Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
80,1,646.5124,1,460,1105,2857,4205,505,-6.5,200,0,1,651.1036,0,1,736363.438110294,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
81,1,662.1316,1,460,1105,2857,4205,505,-6.5,200,0,0,664.9311,1,1,736363.438291072,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
82,0,670.2408,0,460,1105,2857,4205,502,-12.5,200,0,0,671.2824,1,5,736363.438384928,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
83,0,674.5421,1,460,1105,2857,4205,501,-0.5,200,0,1,678.6198,0,0,736363.438434712,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
84,1,682.917,0,460,1105,2857,4205,501,-0.5,200,0,0,684.5496,1,0,736363.438531643,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
85,0,688.219,0,730,2058,2857,4205,508,-3.5,200,1,1,690.0539,1,0,736363.438593009,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
86,0,694.6041,1,460,1105,2857,4205,507,-12.5,200,0,1,698.7003,0,2,736363.438666911,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
87,1,702.471,0,460,1105,2857,4205,507,-12.5,200,0,0,703.6937,1,2,736363.438757963,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
88,0,707.2032,0,730,2058,2857,4205,506,-12.5,200,1,1,709.144,1,5,736363.438812734,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
89,0,713.525,0,460,1105,2857,4205,505,-3.5,200,0,0,714.8145,1,4,736363.438885903,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
90,0,718.3688,1,460,1105,2857,4205,510,2.5,200,0,1,722.9393,0,4,736363.438941965,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
91,1,735.1634,0,460,1105,2857,4205,510,2.5,200,0,0,736.2551,1,4,736363.439136347,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
92,0,740.05,0,460,1105,2857,4205,504,-6.5,200,0,1,741.3894,0,4,736363.439192905,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
93,1,746.4276,0,460,1105,2857,4205,504,-6.5,200,0,1,747.5243,0,4,736363.43926672,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
94,1,756.6875,0,460,1105,2857,4205,504,-6.5,200,0,0,757.5084,1,4,736363.439385469,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
95,0,761.2332,0,730,2058,2857,4205,511,-6.5,200,1,1,762.6548,1,3,736363.439438081,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
96,0,767.4206,1,460,1105,2857,4205,503,-9.5,200,0,1,772.5099,0,2,736363.439509694,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
97,1,779.0337,0,460,1105,2857,4205,503,-9.5,200,0,0,780.0245,1,2,736363.439644105,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
98,0,783.8157,0,730,2058,2857,4205,510,-12.5,200,1,1,785.0367,1,2,736363.439699453,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
99,0,793.1326,0,460,1105,2857,4205,502,-9.5,200,0,0,794.1708,1,5,736363.439807287,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
100,0,797.8194,0,730,2058,2857,4205,506,-12.5,200,1,1,799.0514,1,4,736363.439861532,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
101,0,804.2554,0,460,1105,2857,4205,508,-6.5,200,0,1,806.2668,0,4,736363.439936023,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
102,1,810.5403,1,460,1105,2857,4205,508,-6.5,200,0,0,814.8296,1,4,736363.440008765,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
103,0,818.5724,1,460,1105,2857,4205,511,-0.5,200,0,0,821.8455,1,5,736363.440101729,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
104,0,825.4086,0,460,1105,2857,4205,505,2.5,200,0,1,827.1042,0,4,736363.440180852,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
105,1,831.3994,0,460,1105,2857,4205,505,2.5,200,0,0,832.9097,1,4,736363.44025019,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
106,0,836.5571,0,730,2058,2857,4205,503,-0.5,200,1,1,838.0187,1,4,736363.440309885,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
107,0,842.8963,0,730,2058,2857,4205,501,-3.5,200,1,1,844.1119,1,5,736363.440383256,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
108,0,848.8401,0,730,2058,2857,4205,509,-0.5,200,1,1,850.8593,1,1,736363.44045205,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
109,0,855.8596,0,460,1105,2857,4205,504,2.5,200,0,0,856.9846,1,1,736363.440533294,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
110,0,859.9836,0,460,1105,2857,4205,504,-12.5,200,0,1,861.394,0,0,736363.440581025,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
111,1,865.3431,0,460,1105,2857,4205,504,-12.5,200,0,1,866.7419,0,0,736363.440643057,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
112,1,873.6222,0,460,1105,2857,4205,504,-12.5,200,0,0,874.3895,1,0,736363.44073888,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
