Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,Mask,originalFile,LeftTemperature,RightTemperature
24,0,178.0394,0,437,2761,2975,4263,626,-13.8,200,0,0,178.3884,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
25,0,182.9536,0,936,1551,2975,4263,676,-10.0,200,1,1,183.409,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
26,0,189.7799,0,437,2761,2975,4263,576,-11.3,200,0,0,190.1397,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
27,0,193.9824,0,936,1551,2975,4263,601,-11.3,200,1,1,194.5985,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
28,0,205.4258,0,437,2761,2975,4263,726,-15.0,200,0,0,205.934,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
29,0,209.5056,0,936,1551,2975,4263,626,-11.3,200,1,1,209.9794,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
30,0,215.4273,0,936,1551,2975,4263,751,-11.3,200,1,1,216.2177,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
31,0,222.2315,0,936,1551,2975,4263,676,-12.5,200,1,1,222.9271,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
32,0,227.8006,1,936,1551,2975,4263,526,-13.8,200,1,0,228.3494,0,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
33,1,236.7993,0,936,1551,2975,4263,526,-13.8,200,1,1,237.7048,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
34,0,251.8063,0,936,1551,2975,4263,651,-11.3,200,1,1,252.5729,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
35,0,259.8157,0,936,1551,2975,4263,551,-13.8,200,1,0,260.7939,0,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
36,1,268.1632,0,936,1551,2975,4263,551,-13.8,200,1,1,268.971,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
37,0,274.4379,1,437,2761,2975,4263,576,-10.0,200,0,0,275.3196,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
38,0,278.671,0,936,1551,2975,4263,501,-15.0,200,1,1,280.4366,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
39,0,286.6621,0,936,1551,2975,4263,501,-15.0,200,1,1,287.4708,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
40,0,296.5183,0,936,1551,2975,4263,576,-13.8,200,1,0,297.2429,0,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
41,1,306.794,0,936,1551,2975,4263,576,-13.8,200,1,0,307.6773,0,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
42,1,315.7462,1,936,1551,2975,4263,576,-13.8,200,1,1,318.8403,1,4,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
43,0,324.1303,0,437,2761,2975,4263,526,-11.3,200,0,0,324.7558,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
44,0,329.0795,0,936,1551,2975,4263,751,-15.0,200,1,1,329.9601,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
45,0,334.7678,0,437,2761,2975,4263,601,-13.8,200,0,0,335.2366,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
46,0,339.1906,0,437,2761,2975,4263,626,-12.5,200,0,0,339.6444,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
