Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
22,1166.6241,1,437,2761,2975,4263,507,-15.0,200,0,1,1169.1101,0,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,72.0,5.0,2014-04-24,False,right
24,1180.2527,1,936,1551,2975,4263,504,-6.0,200,1,1,1180.8567,1,3,separated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
25,1183.3142,1,437,2761,2975,4263,508,-8.0,200,0,1,1191.2714,0,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,65.0,-2.0,2014-04-24,False,right
27,1201.0646,1,437,2761,2975,4263,510,-6.0,200,0,0,1203.3861,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,left
28,1207.2992,0,936,1551,2975,4263,503,-15.0,200,1,1,1208.282,1,5,single_speaker,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,72.0,5.0,2014-04-24,False,right
29,1212.0326,0,936,1551,2975,4263,502,-6.0,200,1,1,1212.9184,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,left
30,1215.8306,0,437,2761,2975,4263,509,-8.0,200,0,0,1216.9139,1,4,single_speaker,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,65.0,-2.0,2014-04-24,False,left
31,1221.0971,0,936,1551,2975,4263,505,-8.0,200,1,1,1222.4655,1,4,single_speaker,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,65.0,-2.0,2014-04-24,False,left
32,1225.2377,0,936,1551,2975,4263,508,-13.0,200,1,1,1226.0247,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,70.0,3.0,2014-04-24,False,right
33,1228.9987,1,936,1551,2975,4263,507,-10.0,200,1,0,1231.945,0,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,67.0,0.0,2014-04-24,False,left
36,1247.1829,0,936,1551,2975,4263,504,-13.0,200,1,1,1248.0383,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,70.0,3.0,2014-04-24,False,left
37,1251.4158,1,936,1551,2975,4263,501,-6.0,200,1,1,1252.145,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
38,1255.6541,0,437,2761,2975,4263,510,-10.0,200,0,1,1263.5413,0,3,separated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,67.0,0.0,2014-04-24,False,right
40,1272.0162,1,936,1551,2975,4263,511,-15.0,200,1,1,1330.1391,1,2,separated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,72.0,5.0,2014-04-24,False,left
41,1332.4507,1,437,2761,2975,4263,509,-6.0,200,0,0,1334.7362,1,4,single_speaker,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,left
42,1351.7996,1,936,1551,2975,4263,511,-6.0,200,1,1,1354.088,1,5,single_speaker,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
43,1357.061,1,936,1551,2975,4263,510,-13.0,200,1,1,1357.9111,1,3,separated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,70.0,3.0,2014-04-24,False,right
44,1360.5688,0,936,1551,2975,4263,506,-10.0,200,1,-1,-1.0,0,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,67.0,0.0,2014-04-24,False,right
45,1424.3865,0,936,1551,2975,4263,505,-8.0,200,1,0,1426.1648,0,5,single_speaker,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,65.0,-2.0,2014-04-24,False,right
