Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
63,625.4297,0,730,2058,2857,4205,551,10.0,200,1,0,626.3433,0,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
66,653.436,0,460,1105,2857,4205,751,10.0,200,0,0,653.8849,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
67,662.921,0,460,1105,2857,4205,901,10.0,200,0,0,663.1468,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
68,668.2957,1,730,2058,2857,4205,701,10.0,200,1,0,669.0389,0,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
70,678.284,0,730,2058,2857,4205,1001,10.0,200,1,1,679.4096,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
71,695.4989,0,730,2058,2857,4205,951,10.0,200,1,0,696.1465,0,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
73,717.561,0,460,1105,2857,4205,651,10.0,200,0,0,718.0445,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
74,723.4189,0,460,1105,2857,4205,501,10.0,200,0,0,724.2624,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
75,733.8276,0,460,1105,2857,4205,851,10.0,200,0,0,734.273,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
76,739.9397,0,730,2058,2857,4205,601,10.0,200,1,0,740.567,0,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
78,751.1715,1,460,1105,2857,4205,501,10.0,200,0,0,752.344,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
79,759.4938,0,730,2058,2857,4205,551,10.0,200,1,1,760.5592,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
80,782.4022,1,460,1105,2857,4205,901,10.0,200,0,0,782.9248,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
81,790.8187,0,730,2058,2857,4205,951,10.0,200,1,0,791.3406,0,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
83,813.6847,0,460,1105,2857,4205,701,10.0,200,0,0,814.2005,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
84,819.3279,0,460,1105,2857,4205,751,10.0,200,0,0,819.9138,1,4,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,left
