Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
69,586.3974,1,460,1105,2857,4205,504,-12.5,200,0,1,591.2914,0,4,736350.356731775,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,69.5,2.5,single_speaker,left
72,615.1863,0,460,1105,2857,4205,507,-9.5,200,0,1,616.8898,0,4,736350.35706498,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,66.5,-0.5,single_speaker,left
17,1323.305,1,460,1105,2857,4205,509,-12.5,200,0,1,1329.5279,0,4,736350.7001161,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,19.0,19.0,1509,2016-01-21,19.0,True,69.5,2.5,single_speaker,left
21,1372.7055,0,730,2058,2857,4205,506,-0.5,200,1,1,1374.3158,1,5,736350.700687865,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,18.0,18.0,1509,2016-01-21,18.0,True,57.5,-9.5,single_speaker,right
28,1427.4018,0,730,2058,2857,4205,503,-12.5,200,1,1,1428.578,1,4,736350.701320924,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,16.0,16.0,1509,2016-01-21,16.0,True,69.5,2.5,single_speaker,left
29,1434.6491,0,730,2058,2857,4205,504,-6.5,200,1,1,1436.199,1,5,736350.701404804,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,16.0,16.0,1509,2016-01-21,16.0,True,63.5,-3.5,single_speaker,right
51,1668.5684,0,460,1105,2857,4205,508,-3.5,200,0,0,1670.036,1,4,736350.704112204,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,12.0,12.0,1509,2016-01-21,12.0,True,60.5,-6.5,single_speaker,left
53,1680.6581,0,460,1105,2857,4205,502,2.5,200,0,1,1682.645,0,4,736350.704252131,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,12.0,12.0,1509,2016-01-21,12.0,True,54.5,-12.5,single_speaker,left
55,1695.2751,0,730,2058,2857,4205,501,-3.5,200,1,1,1697.1827,1,4,736350.704421309,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,12.0,12.0,1509,2016-01-21,12.0,True,60.5,-6.5,single_speaker,left
58,1724.9632,0,460,1105,2857,4205,508,-6.5,200,0,1,1726.5864,0,5,736350.704764921,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,12.0,12.0,1509,2016-01-21,12.0,True,63.5,-3.5,single_speaker,right
61,1748.4882,0,730,2058,2857,4205,506,-9.5,200,1,1,1750.2136,1,4,736350.705037201,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,66.5,-0.5,single_speaker,left
71,1832.0466,1,730,2058,2857,4205,510,-0.5,200,1,1,1837.1482,1,4,736350.706004312,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,57.5,-9.5,single_speaker,left
73,1852.5082,0,730,2058,2857,4205,505,-9.5,200,1,1,1854.3154,1,5,736350.706241137,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,66.5,-0.5,single_speaker,right
75,1866.5057,0,460,1105,2857,4205,509,-0.5,200,0,0,1867.9665,1,4,736350.706403145,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,57.5,-9.5,single_speaker,left
79,1903.9694,0,730,2058,2857,4205,503,2.5,200,1,1,1906.03,1,4,736350.706836752,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,54.5,-12.5,single_speaker,left
80,1922.5977,0,460,1105,2857,4205,509,-9.5,200,0,0,1924.0644,1,4,736350.707052358,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,66.5,-0.5,single_speaker,left
83,1940.7987,1,730,2058,2857,4205,505,-6.5,200,1,1,1944.671,1,4,736350.707263017,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,63.5,-3.5,single_speaker,left
88,1999.9346,0,460,1105,2857,4205,506,-6.5,200,0,1,2001.8042,0,4,736350.707947461,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,63.5,-3.5,single_speaker,left
90,2017.5056,0,730,2058,2857,4205,504,2.5,200,1,0,2018.7405,0,5,736350.708150829,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,54.5,-12.5,single_speaker,right
93,2048.7735,0,730,2058,2857,4205,511,-3.5,200,1,1,2050.6862,1,5,736350.708512726,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,60.5,-6.5,single_speaker,right
95,2061.3439,0,460,1105,2857,4205,505,-0.5,200,0,1,2063.0372,0,5,736350.708658216,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,57.5,-9.5,single_speaker,right
97,2079.6216,0,460,1105,2857,4205,509,-3.5,200,0,0,2081.1633,1,5,736350.708869764,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,11.0,11.0,1509,2016-01-21,11.0,True,60.5,-6.5,single_speaker,right
103,2139.7814,1,460,1105,2857,4205,503,2.5,200,0,1,2145.4094,0,5,736350.709566058,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,54.5,-12.5,single_speaker,right
107,2180.8502,0,730,2058,2857,4205,504,-12.5,200,1,1,2182.4229,1,5,736350.710041391,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,10.0,10.0,1509,2016-01-21,10.0,True,69.5,2.5,single_speaker,right
114,2231.5595,0,460,1105,2857,4205,508,2.5,200,0,0,2232.6406,1,5,736350.710628304,21_01_2016 level23_spatial_Robin_cooling 16_26_06.726 log.txt,9.0,9.0,1509,2016-01-21,9.0,True,54.5,-12.5,single_speaker,right
