SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
single_speaker,False,936,790,84.4017094017094,86
colocated,False,1248,864,69.23076923076923,87
separated,False,1248,909,72.83653846153845,87
single_speaker,False,936,797,85.14957264957265,87
colocated,False,1248,867,69.47115384615384,88
separated,False,1248,894,71.63461538461539,88
single_speaker,False,936,779,83.22649572649573,88
colocated,False,1248,876,70.1923076923077,89
separated,False,1248,900,72.11538461538461,89
single_speaker,False,936,780,83.33333333333334,89
colocated,False,1248,870,69.71153846153845,90
separated,False,1248,876,70.1923076923077,90
single_speaker,False,936,781,83.44017094017094,90
colocated,False,1248,845,67.70833333333334,91
separated,False,1248,925,74.11858974358975,91
single_speaker,False,936,789,84.2948717948718,91
colocated,False,1248,863,69.15064102564102,92
separated,False,1248,883,70.75320512820514,92
single_speaker,False,936,773,82.58547008547008,92
colocated,False,1248,862,69.07051282051282,93
separated,False,1248,918,73.5576923076923,93
single_speaker,False,936,781,83.44017094017094,93
colocated,False,1248,869,69.63141025641025,94
separated,False,1248,896,71.7948717948718,94
single_speaker,False,936,766,81.83760683760684,94
colocated,False,1248,874,70.03205128205127,95
separated,False,1248,895,71.71474358974359,95
single_speaker,False,936,803,85.79059829059828,95
colocated,False,1248,875,70.11217948717949,96
separated,False,1248,932,74.67948717948718,96
single_speaker,False,936,799,85.36324786324786,96
colocated,False,1248,854,68.42948717948718,97
separated,False,1248,915,73.3173076923077,97
single_speaker,False,936,797,85.14957264957265,97
colocated,False,1248,833,66.74679487179486,98
separated,False,1248,914,73.23717948717949,98
single_speaker,False,936,781,83.44017094017094,98
colocated,False,1248,862,69.07051282051282,99
separated,False,1248,891,71.39423076923077,99
single_speaker,False,936,788,84.1880341880342,99
