Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
20,238.2219,1,460,1105.0,2857.0,4205.0,501.0,10.0,200.0,0.0,0.0,239.2952,1.0,0.0,14_10_2014 level23_spatial_F+V 10_43 Block7-3.txt,37,37,1201,47.0,-20.0,2014-10-14,False,colocated,left
96,918.0914,0,460,1105.0,2857.0,4205.0,1001.0,10.0,200.0,0.0,0.0,919.7053,1.0,0.0,30_04_2015 level23_spatial_F+V 08_58 Block10-18.txt,37,37,1201,47.0,-20.0,2015-04-30,False,colocated,left
61,515.9429,0,460,1105.0,2857.0,4205.0,501.0,10.0,200.0,0.0,0.0,517.6393,1.0,0.0,12_01_2015 level23_spatial_F+V 09_32 Block7-74.txt,37,37,1201,47.0,-20.0,2015-01-12,False,colocated,left
10,102.6484,0,460,1105.0,2857.0,4205.0,801.0,10.0,200.0,0.0,1.0,103.8428,0.0,0.0,12_01_2015 level23_spatial_F+V 09_32 Block7-74.txt,37,37,1201,47.0,-20.0,2015-01-12,False,colocated,left
33,313.304,0,460,1105.0,2857.0,4205.0,751.0,10.0,200.0,0.0,0.0,314.4912,1.0,0.0,01_05_2015 level23_spatial_F+V 10_23 Block10-20.txt,37,37,1201,47.0,-20.0,2015-05-01,False,colocated,left
90,1051.3786,0,460,1105.0,2857.0,4205.0,751.0,10.0,200.0,0.0,0.0,1053.8737,1.0,0.0,12_08_2014 level23_spatial_F+V 10_04 Block6-61.txt,37,37,1201,47.0,-20.0,2014-08-12,False,colocated,left
15,186.8159,0,460,1105.0,2857.0,4205.0,801.0,10.0,200.0,0.0,1.0,188.2663,0.0,0.0,21_05_2015 level23_spatial_F+V 10_00 Block10-51.txt,37,37,1201,47.0,-20.0,2015-05-21,False,colocated,left
9,77.6747,0,460,1105.0,2857.0,4205.0,1001.0,10.0,200.0,0.0,0.0,78.2283,1.0,0.0,20_03_2015 level23_spatial_F+V 08_27 Block9-1.txt,37,37,1201,47.0,-20.0,2015-03-20,False,colocated,left
82,730.7901,0,460,1105.0,2857.0,4205.0,801.0,10.0,200.0,0.0,0.0,732.3956,1.0,0.0,09_01_2015 level23_spatial_F+V 09_25 Block7-70.txt,37,37,1201,47.0,-20.0,2015-01-09,False,colocated,left
194,2191.2291,0,460,1105.0,2857.0,4205.0,1001.0,10.0,200.0,0.0,0.0,2192.9953,1.0,0.0,22_05_2015 level23_spatial_F+V 10_27 Block10-54.txt,37,37,1201,47.0,-20.0,2015-05-22,False,colocated,left
16,233.1889,0,460,1105.0,2857.0,4205.0,701.0,10.0,200.0,0.0,0.0,234.1704,1.0,0.0,22_05_2015 level23_spatial_F+V 10_27 Block10-54.txt,37,37,1201,47.0,-20.0,2015-05-22,False,colocated,left
47,545.4421,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,546.5353,1.0,0.0,01_04_2015 level23_spatial_F+V 14_35 Block9-7.txt,37,37,1201,47.0,-20.0,2015-04-01,False,colocated,left
96,785.1492,0,460,1105.0,2857.0,4205.0,701.0,10.0,200.0,0.0,1.0,787.5331,0.0,0.0,27_11_2014 level23_spatial_F+V 10_50 Block7-31.txt,37,37,1201,47.0,-20.0,2014-11-27,False,colocated,left
78,746.2688,0,460,1105.0,2857.0,4205.0,851.0,10.0,200.0,0.0,0.0,747.3556,1.0,0.0,02_02_2015 level23_spatial_F+V 09_07 Block8-23.txt,37,37,1201,47.0,-20.0,2015-02-02,False,colocated,left
69,662.8852,0,460,1105.0,2857.0,4205.0,601.0,10.0,200.0,0.0,0.0,664.3563,1.0,0.0,02_02_2015 level23_spatial_F+V 09_07 Block8-23.txt,37,37,1201,47.0,-20.0,2015-02-02,False,colocated,left
42,524.7589,0,460,1105.0,2857.0,4205.0,501.0,10.0,200.0,0.0,0.0,526.3131,1.0,0.0,14_10_2014 level23_spatial_F+V 10_43 Block7-3.txt,37,37,1201,47.0,-20.0,2014-10-14,False,colocated,left
65,833.6558,0,460,1105.0,2857.0,4205.0,601.0,10.0,200.0,0.0,0.0,835.0994,1.0,0.0,14_10_2014 level23_spatial_F+V 10_43 Block7-3.txt,37,37,1201,47.0,-20.0,2014-10-14,False,colocated,left
4,35.4594,1,460,1105.0,2857.0,4205.0,701.0,10.0,200.0,0.0,0.0,36.3281,1.0,0.0,09_12_2014 level23_spatial_F+V 15_44 Block7-45.txt,37,37,1201,47.0,-20.0,2014-12-09,False,colocated,left
108,1178.5193,0,460,1105.0,2857.0,4205.0,1001.0,10.0,200.0,0.0,1.0,1178.6241,0.0,0.0,22_05_2015 level23_spatial_F+V 10_27 Block10-54.txt,37,37,1201,47.0,-20.0,2015-05-22,False,colocated,left
20,203.2357,0,460,1105.0,2857.0,4205.0,801.0,10.0,200.0,0.0,0.0,203.9799,1.0,0.0,30_04_2015 level23_spatial_F+V 08_58 Block10-18.txt,37,37,1201,47.0,-20.0,2015-04-30,False,colocated,left
75,944.0458,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,946.2202,1.0,0.0,20_03_2015 level23_spatial_F+V 13_34 Block9-2.txt,37,37,1201,47.0,-20.0,2015-03-20,False,colocated,left
90,1051.3786,0,460,1105.0,2857.0,4205.0,751.0,10.0,200.0,0.0,0.0,1053.8737,1.0,0.0,12_08_2014 level23_spatial_F+V 10_04 Block6-61.txt,37,37,1201,47.0,-20.0,2014-08-12,False,colocated,left
2,21.0177,0,460,1105.0,2857.0,4205.0,701.0,10.0,200.0,0.0,0.0,21.8001,1.0,0.0,09_01_2015 level23_spatial_F+V 09_25 Block7-70.txt,37,37,1201,47.0,-20.0,2015-01-09,False,colocated,left
14,435.9031,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,1.0,436.5596,0.0,0.0,11_08_2014 level23_spatial_F+V 09_23 Block6-60.txt,37,37,1201,47.0,-20.0,2014-08-11,False,colocated,left
124,1148.1013,0,460,1105.0,2857.0,4205.0,701.0,10.0,200.0,0.0,0.0,1150.3201,1.0,0.0,09_01_2015 level23_spatial_F+V 09_25 Block7-70.txt,37,37,1201,47.0,-20.0,2015-01-09,False,colocated,left
48,454.0567,0,460,1105.0,2857.0,4205.0,951.0,10.0,200.0,0.0,0.0,455.8254,1.0,0.0,02_02_2015 level23_spatial_F+V 09_07 Block8-23.txt,37,37,1201,47.0,-20.0,2015-02-02,False,colocated,left
5,47.2804,0,460,1105.0,2857.0,4205.0,1001.0,10.0,200.0,0.0,0.0,48.1513,1.0,0.0,30_10_2014 level23_spatial_F+V 09_02 Block7-17.txt,37,37,1201,47.0,-20.0,2014-10-30,False,colocated,left
108,1009.7842,0,460,1105.0,2857.0,4205.0,501.0,10.0,200.0,0.0,0.0,1012.5377,1.0,0.0,30_04_2015 level23_spatial_F+V 08_58 Block10-18.txt,37,37,1201,47.0,-20.0,2015-04-30,False,colocated,left
20,238.2219,1,460,1105.0,2857.0,4205.0,501.0,10.0,200.0,0.0,0.0,239.2952,1.0,0.0,14_10_2014 level23_spatial_F+V 10_43 Block7-3.txt,37,37,1201,47.0,-20.0,2014-10-14,False,colocated,left
111,1415.7498,0,460,1105.0,2857.0,4205.0,901.0,10.0,200.0,0.0,1.0,1417.1472,0.0,0.0,14_10_2014 level23_spatial_F+V 10_43 Block7-3.txt,37,37,1201,47.0,-20.0,2014-10-14,False,colocated,left
