SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
colocated,False,704,427,60.65340909090909,94
separated,False,704,429,60.9375,94
single_speaker,False,704,560,79.54545454545455,94
colocated,False,704,418,59.375,95
separated,False,704,422,59.94318181818182,95
single_speaker,False,704,550,78.125,95
colocated,False,704,413,58.66477272727273,96
separated,False,704,427,60.65340909090909,96
single_speaker,False,704,554,78.69318181818183,96
colocated,False,704,406,57.67045454545454,97
separated,False,704,423,60.08522727272727,97
single_speaker,False,704,559,79.4034090909091,97
colocated,False,704,411,58.38068181818182,98
separated,False,704,410,58.23863636363637,98
single_speaker,False,704,560,79.54545454545455,98
colocated,False,704,424,60.22727272727273,99
separated,False,704,452,64.20454545454545,99
single_speaker,False,704,543,77.13068181818183,99
colocated,False,704,424,60.22727272727273,100
separated,False,704,441,62.64204545454546,100
single_speaker,False,704,562,79.82954545454545,100
colocated,False,704,407,57.8125,101
separated,False,704,456,64.77272727272727,101
single_speaker,False,704,555,78.83522727272727,101
colocated,False,704,414,58.80681818181818,102
separated,False,704,444,63.06818181818182,102
single_speaker,False,704,551,78.26704545454545,102
colocated,False,704,431,61.22159090909091,103
separated,False,704,444,63.06818181818182,103
single_speaker,False,704,552,78.4090909090909,103
colocated,False,704,431,61.22159090909091,104
separated,False,704,423,60.08522727272727,104
single_speaker,False,704,554,78.69318181818183,104
colocated,False,704,415,58.94886363636363,105
separated,False,704,435,61.78977272727273,105
single_speaker,False,704,552,78.4090909090909,105
colocated,False,704,395,56.10795454545454,106
separated,False,704,434,61.64772727272727,106
single_speaker,False,704,564,80.11363636363636,106
colocated,False,704,412,58.52272727272727,107
separated,False,704,418,59.375,107
single_speaker,False,704,562,79.82954545454545,107
colocated,False,704,404,57.38636363636363,108
separated,False,704,440,62.5,108
single_speaker,False,704,558,79.26136363636364,108
colocated,False,704,411,58.38068181818182,109
separated,False,704,431,61.22159090909091,109
single_speaker,False,704,535,75.99431818181817,109
colocated,False,704,398,56.53409090909091,110
separated,False,704,428,60.79545454545454,110
single_speaker,False,704,547,77.69886363636364,110
colocated,False,704,411,58.38068181818182,111
separated,False,704,420,59.65909090909091,111
single_speaker,False,704,570,80.9659090909091,111
colocated,False,704,432,61.36363636363637,112
separated,False,704,414,58.80681818181818,112
single_speaker,False,704,548,77.8409090909091,112
colocated,False,704,419,59.51704545454546,113
separated,False,704,425,60.36931818181818,113
single_speaker,False,704,556,78.97727272727273,113
colocated,False,704,418,59.375,114
separated,False,704,422,59.94318181818182,114
single_speaker,False,704,543,77.13068181818183,114
colocated,False,704,411,58.38068181818182,115
separated,False,704,416,59.09090909090909,115
single_speaker,False,704,556,78.97727272727273,115
colocated,False,704,412,58.52272727272727,116
separated,False,704,436,61.93181818181818,116
single_speaker,False,704,558,79.26136363636364,116
colocated,False,704,406,57.67045454545454,117
separated,False,704,436,61.93181818181818,117
single_speaker,False,704,546,77.55681818181817,117
colocated,False,704,417,59.23295454545454,118
separated,False,704,442,62.78409090909091,118
single_speaker,False,704,556,78.97727272727273,118
colocated,False,704,429,60.9375,119
separated,False,704,423,60.08522727272727,119
single_speaker,False,704,570,80.9659090909091,119
colocated,False,704,438,62.21590909090909,120
separated,False,704,428,60.79545454545454,120
single_speaker,False,704,558,79.26136363636364,120
colocated,False,704,417,59.23295454545454,121
separated,False,704,441,62.64204545454546,121
