Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
11,0,701,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.124,u,50.0,-20.0
15,0,801,-10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,2.001,u,70.0,0.0
17,0,601,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.882,e,63.3,-6.700000000000003
18,0,1001,3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.679,e,56.7,-13.299999999999997
19,0,801,-6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.731,u,66.7,-3.299999999999997
20,0,1001,6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.266,u,53.3,-16.700000000000003
21,0,601,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.074,e,63.3,-6.700000000000003
22,0,901,0.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.164,u,60.0,-10.0
23,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.86,u,56.7,-13.299999999999997
24,0,1001,-10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.581,e,70.0,0.0
25,0,501,-6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.029,u,66.7,-3.299999999999997
26,0,901,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.934,u,50.0,-20.0
28,0,701,3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.913,e,56.7,-13.299999999999997
29,0,801,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.78,e,60.0,-10.0
30,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.66,e,50.0,-20.0
31,0,501,-10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.798,u,70.0,0.0
32,0,701,-6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.881,u,66.7,-3.299999999999997
