Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
218,5537,20.3,5537,21.8,09-Jun-2015 17:08:05
219,5537,20.3,5537,21.8,09-Jun-2015 17:08:06
220,5537,20.3,5537,21.8,09-Jun-2015 17:08:07
221,5537,20.3,5537,21.8,09-Jun-2015 17:08:08
222,5537,20.3,5537,21.8,09-Jun-2015 17:08:09
223,5537,20.3,5537,21.8,09-Jun-2015 17:08:10
224,5537,20.3,5537,21.8,09-Jun-2015 17:08:11
225,5537,20.3,5537,21.8,09-Jun-2015 17:08:12
226,5537,20.3,5537,21.8,09-Jun-2015 17:08:13
227,5537,20.3,5537,21.8,09-Jun-2015 17:08:14
228,5537,20.3,5537,21.8,09-Jun-2015 17:08:15
229,5537,20.3,5537,21.8,09-Jun-2015 17:08:16
230,5537,20.3,5537,21.8,09-Jun-2015 17:08:17
231,5537,20.3,5537,21.8,09-Jun-2015 17:08:18
232,5537,20.3,5537,21.8,09-Jun-2015 17:08:19
233,5537,20.3,5537,21.8,09-Jun-2015 17:08:20
234,5537,20.3,5537,21.8,09-Jun-2015 17:08:21
235,5537,20.3,5537,21.8,09-Jun-2015 17:08:22
236,5537,20.3,5537,21.8,09-Jun-2015 17:08:23
237,5537,20.3,5537,21.8,09-Jun-2015 17:08:24
238,5537,20.3,5537,21.8,09-Jun-2015 17:08:25
239,5537,20.3,5537,21.8,09-Jun-2015 17:08:26
240,5537,20.3,5537,21.8,09-Jun-2015 17:08:27
241,5537,20.3,5537,21.8,09-Jun-2015 17:08:28
242,5537,20.3,5537,21.8,09-Jun-2015 17:08:29
243,5537,20.3,5537,21.8,09-Jun-2015 17:08:30
244,5537,20.3,5537,21.8,09-Jun-2015 17:08:31
245,5537,20.3,5537,21.8,09-Jun-2015 17:08:32
246,5537,20.3,5537,21.8,09-Jun-2015 17:08:33
247,5537,20.3,5537,21.8,09-Jun-2015 17:08:34
248,5537,20.3,5537,21.8,09-Jun-2015 17:08:35
249,5537,20.3,5537,21.8,09-Jun-2015 17:08:37
250,5537,20.3,5537,21.8,09-Jun-2015 17:08:38
251,5537,20.3,5537,21.8,09-Jun-2015 17:08:39
252,5537,20.3,5537,21.8,09-Jun-2015 17:08:40
