Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
218,5537,19.5,5537,19.5,10-Jun-2015 08:12:11
219,5537,19.5,5537,19.5,10-Jun-2015 08:12:12
220,5537,19.5,5537,19.5,10-Jun-2015 08:12:13
221,5537,19.5,5537,19.5,10-Jun-2015 08:12:14
222,5537,19.5,5537,19.5,10-Jun-2015 08:12:15
223,5537,19.5,5537,19.5,10-Jun-2015 08:12:16
224,5537,19.5,5537,19.5,10-Jun-2015 08:12:17
225,5537,19.5,5537,19.5,10-Jun-2015 08:12:18
226,5537,19.5,5537,19.5,10-Jun-2015 08:12:19
227,5537,19.5,5537,19.5,10-Jun-2015 08:12:20
228,5537,19.5,5537,19.5,10-Jun-2015 08:12:21
229,5537,19.5,5537,19.5,10-Jun-2015 08:12:22
230,5537,19.5,5537,19.5,10-Jun-2015 08:12:23
231,5537,19.5,5537,19.5,10-Jun-2015 08:12:24
232,5537,19.5,5537,19.5,10-Jun-2015 08:12:25
233,5537,19.5,5537,19.5,10-Jun-2015 08:12:26
234,5537,19.5,5537,19.5,10-Jun-2015 08:12:27
235,5537,19.5,5537,19.5,10-Jun-2015 08:12:28
236,5537,19.5,5537,19.5,10-Jun-2015 08:12:29
237,5537,19.5,5537,19.5,10-Jun-2015 08:12:30
238,5537,19.5,5537,19.5,10-Jun-2015 08:12:31
239,5537,19.5,5537,19.5,10-Jun-2015 08:12:32
240,5537,19.5,5537,19.5,10-Jun-2015 08:12:33
241,1085,19.5,5537,19.5,10-Jun-2015 08:12:34
242,1085,19.5,5537,19.5,10-Jun-2015 08:12:35
243,672,19.5,5537,19.5,10-Jun-2015 08:12:36
244,5537,19.5,5537,19.5,10-Jun-2015 08:12:37
245,5537,19.5,5537,19.5,10-Jun-2015 08:12:38
246,5537,19.5,5537,19.5,10-Jun-2015 08:12:39
247,5537,19.5,5537,19.5,10-Jun-2015 08:12:40
248,5537,19.5,5537,19.5,10-Jun-2015 08:12:41
249,5537,19.5,5537,19.5,10-Jun-2015 08:12:42
250,5537,19.5,5537,19.5,10-Jun-2015 08:12:43
251,5537,19.5,5537,19.5,10-Jun-2015 08:12:44
252,5537,19.5,5537,19.5,10-Jun-2015 08:12:45
253,5537,19.5,5537,19.5,10-Jun-2015 08:12:46
254,5537,19.5,5537,19.5,10-Jun-2015 08:12:47
255,5537,19.5,5537,19.5,10-Jun-2015 08:12:48
