Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
141,1,22,2016,17,5,35,5537,19.3,0,0
142,1,22,2016,17,5,36,5537,19.3,0,0
143,1,22,2016,17,5,37,5537,19.3,0,0
144,1,22,2016,17,5,38,5537,19.3,0,0
145,1,22,2016,17,5,39,5537,19.3,0,0
146,1,22,2016,17,5,40,5537,19.3,0,0
147,1,22,2016,17,5,41,5537,19.3,0,0
148,1,22,2016,17,5,42,5537,19.3,0,0
149,1,22,2016,17,5,43,5537,19.3,0,0
150,1,22,2016,17,5,44,5537,19.3,0,0
151,1,22,2016,17,5,45,5537,19.3,0,0
152,1,22,2016,17,5,46,5537,19.3,0,0
153,1,22,2016,17,5,47,5537,19.3,0,0
154,1,22,2016,17,5,48,5537,19.3,0,0
155,1,22,2016,17,5,49,5537,19.3,0,0
156,1,22,2016,17,5,50,5537,19.3,0,0
157,1,22,2016,17,5,51,5537,19.3,0,0
158,1,22,2016,17,5,53,5537,19.3,0,0
159,1,22,2016,17,5,54,5537,19.3,0,0
160,1,22,2016,17,5,55,5537,19.3,0,0
161,1,22,2016,17,5,56,5537,19.3,0,0
162,1,22,2016,17,5,57,5537,19.3,0,0
163,1,22,2016,17,5,58,5537,19.3,0,0
164,1,22,2016,17,5,59,5537,19.3,0,0
165,1,22,2016,17,6,0,5537,19.3,0,0
166,1,22,2016,17,6,1,5537,19.3,0,0
167,1,22,2016,17,6,2,5537,19.3,0,0
168,1,22,2016,17,6,3,5537,19.3,0,0
169,1,22,2016,17,6,4,5537,19.3,0,0
170,1,22,2016,17,6,5,5537,19.3,0,0
171,1,22,2016,17,6,6,5537,19.3,0,0
172,1,22,2016,17,6,7,5537,19.3,0,0
173,1,22,2016,17,6,8,5537,19.3,0,0
174,1,22,2016,17,6,9,5537,19.3,0,0
175,1,22,2016,17,6,10,5537,19.3,0,0
176,1,22,2016,17,6,11,5537,19.3,0,0
177,1,22,2016,17,6,12,5537,19.3,0,0
178,1,22,2016,17,6,13,5537,19.3,0,0
179,1,22,2016,17,6,14,5537,19.3,0,0
180,1,22,2016,17,6,15,5537,19.3,0,0
181,1,22,2016,17,6,16,5537,19.3,0,0
182,1,22,2016,17,6,17,5537,19.3,0,0
183,1,22,2016,17,6,18,5537,19.3,0,0
184,1,22,2016,17,6,19,5537,19.3,0,0
185,1,22,2016,17,6,20,5537,19.3,0,0
186,1,22,2016,17,6,21,5537,19.3,0,0
187,1,22,2016,17,6,22,5537,19.3,0,0
188,1,22,2016,17,6,23,5537,19.3,0,0
189,1,22,2016,17,6,24,5537,19.3,0,0
190,1,22,2016,17,6,25,5537,19.3,0,0
191,1,22,2016,17,6,26,5537,19.3,0,0
192,1,22,2016,17,6,27,5537,19.3,0,0
193,1,22,2016,17,6,28,5537,19.3,0,0
194,1,22,2016,17,6,29,5537,19.3,0,0
195,1,22,2016,17,6,30,5537,19.3,0,0
196,1,22,2016,17,6,31,5537,19.3,0,0
197,1,22,2016,17,6,32,5537,19.3,0,0
198,1,22,2016,17,6,33,5537,19.3,0,0
199,1,22,2016,17,6,34,5537,19.3,0,0
200,1,22,2016,17,6,35,5537,19.3,0,0
201,1,22,2016,17,6,36,5537,19.3,0,0
202,1,22,2016,17,6,37,5537,19.3,0,0
203,1,22,2016,17,6,38,5537,19.3,0,0
204,1,22,2016,17,6,39,5537,19.3,0,0
205,1,22,2016,17,6,40,5537,19.3,0,0
206,1,22,2016,17,6,41,5537,19.3,0,0
207,1,22,2016,17,6,42,5537,19.3,0,0
208,1,22,2016,17,6,43,5537,19.3,0,0
209,1,22,2016,17,6,44,5537,19.3,0,0
210,1,22,2016,17,6,45,5537,19.3,0,0
211,1,22,2016,17,6,46,5537,19.3,0,0
212,1,22,2016,17,6,47,5537,19.3,0,0
213,1,22,2016,17,6,48,5537,19.3,0,0
214,1,22,2016,17,6,49,5537,19.3,0,0
215,1,22,2016,17,6,50,5537,19.3,0,0
216,1,22,2016,17,6,51,5537,19.3,0,0
217,1,22,2016,17,6,52,5537,19.3,0,0
218,1,22,2016,17,6,53,5537,19.3,0,0
219,1,22,2016,17,6,54,5537,19.3,0,0
220,1,22,2016,17,6,55,5537,19.3,0,0
221,1,22,2016,17,6,56,5537,19.3,0,0
222,1,22,2016,17,6,57,5537,19.3,0,0
223,1,22,2016,17,6,58,5537,19.3,0,0
224,1,22,2016,17,6,59,5537,19.3,0,0
225,1,22,2016,17,7,0,5537,19.3,0,0
226,1,22,2016,17,7,1,5537,19.3,0,0
227,1,22,2016,17,7,2,5537,19.3,0,0
228,1,22,2016,17,7,3,5537,19.3,0,0
229,1,22,2016,17,7,5,5537,19.3,0,0
230,1,22,2016,17,7,6,5537,19.3,0,0
231,1,22,2016,17,7,7,5537,19.3,0,0
232,1,22,2016,17,7,8,5537,19.3,0,0
233,1,22,2016,17,7,9,5537,19.3,0,0
234,1,22,2016,17,7,10,5537,19.3,0,0
235,1,22,2016,17,7,11,5537,19.3,0,0
236,1,22,2016,17,7,12,5537,19.3,0,0
237,1,22,2016,17,7,13,5537,19.3,0,0
238,1,22,2016,17,7,14,5537,19.3,0,0
239,1,22,2016,17,7,15,5537,19.3,0,0
240,1,22,2016,17,7,16,5537,19.3,0,0
241,1,22,2016,17,7,17,5537,19.3,0,0
