Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
102	0	744.2719	0	437	2761	2975	4263	726	-12.5	200	1	1	745.8121	1	0	
103	0	751.2062	0	936	1551	2975	4263	651	-17.5	200	0	0	752.0216	1	1	
104	0	756.6755	0	437	2761	2975	4263	676	-3.5	200	1	0	757.9510	0	1	
105	1	761.8554	0	437	2761	2975	4263	676	-3.5	200	1	1	763.3609	1	1	
106	0	770.9676	0	437	2761	2975	4263	501	-7.5	200	1	0	772.4913	0	0	
107	1	783.7630	1	437	2761	2975	4263	501	-7.5	200	1	1	786.3215	1	0	
108	0	791.5475	0	437	2761	2975	4263	551	-12.5	200	1	1	793.0093	1	1	
109	0	798.9701	1	437	2761	2975	4263	751	-3.5	200	1	1	802.3449	1	0	
110	0	806.6247	1	936	1551	2975	4263	526	-17.5	200	0	0	810.2325	1	1	
111	0	815.6612	1	936	1551	2975	4263	576	-12.5	200	0	0	818.7748	1	0	
112	0	823.3688	0	936	1551	2975	4263	676	-8.5	200	0	0	824.1750	1	0	
113	0	829.2747	0	936	1551	2975	4263	651	-17.5	200	0	0	830.5824	1	0	
114	0	837.3670	1	936	1551	2975	4263	501	-8.5	200	0	1	840.5488	0	1	
115	1	844.6474	0	936	1551	2975	4263	501	-8.5	200	0	1	846.0908	0	1	
116	1	852.5184	0	936	1551	2975	4263	501	-8.5	200	0	0	853.7480	1	1	
117	0	858.1493	1	936	1551	2975	4263	751	-12.5	200	0	0	860.4956	1	1	
118	0	867.0716	0	437	2761	2975	4263	726	-12.5	200	1	1	868.7114	1	0	
119	0	872.3114	1	437	2761	2975	4263	626	-7.5	200	1	1	875.6670	1	1	
120	0	880.1010	1	936	1551	2975	4263	526	-8.5	200	0	0	883.3709	1	0	
121	0	889.7783	0	437	2761	2975	4263	701	-12.5	200	1	1	891.0766	1	1	
122	0	896.0386	0	936	1551	2975	4263	576	-12.5	200	0	0	896.8996	1	1	
123	0	901.4019	1	936	1551	2975	4263	601	-8.5	200	0	0	904.5483	1	1	
124	0	910.1007	0	437	2761	2975	4263	651	-3.5	200	1	1	911.6874	1	1	
125	0	939.0566	0	437	2761	2975	4263	526	-3.5	200	1	1	951.6687	1	0	
126	0	963.0734	0	936	1551	2975	4263	551	-17.5	200	0	0	964.3387	1	1	
127	0	968.5219	0	936	1551	2975	4263	701	-12.5	200	0	0	969.4735	1	0	
128	0	973.6334	1	936	1551	2975	4263	601	-17.5	200	0	1	974.5478	0	0	
129	1	984.4141	0	936	1551	2975	4263	601	-17.5	200	0	1	986.7730	0	0	
130	1	996.1968	0	936	1551	2975	4263	601	-17.5	200	0	1	1008.0743	0	0	
131	1	1028.1813	0	936	1551	2975	4263	601	-17.5	200	0	1	1032.2170	0	0	
