Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
28	0	779.4504	0	936	1551	2975	4263	626	-8.5	200	0	1	780.9567	0	1	
29	1	792.3941	1	936	1551	2975	4263	626	-8.5	200	0	1	796.2524	0	1	
30	1	801.8235	0	936	1551	2975	4263	626	-8.5	200	0	1	803.3111	0	1	
31	1	807.9738	1	936	1551	2975	4263	626	-8.5	200	0	1	811.3446	0	1	
32	1	818.9646	0	936	1551	2975	4263	626	-8.5	200	0	0	821.0561	1	1	
33	0	826.7538	1	437	2761	2975	4263	526	-7.5	200	1	0	832.3595	0	1	
34	1	836.8206	1	437	2761	2975	4263	526	-7.5	200	1	1	839.8121	1	1	
35	0	847.5186	0	936	1551	2975	4263	701	-17.5	200	0	0	848.7537	1	1	
36	0	853.9165	1	936	1551	2975	4263	676	-8.5	200	0	0	857.9308	1	1	
37	0	864.5155	0	437	2761	2975	4263	751	-3.5	200	1	0	866.1789	0	1	
38	1	873.6707	0	437	2761	2975	4263	751	-3.5	200	1	1	874.9306	1	1	
39	0	881.0376	1	437	2761	2975	4263	551	-12.5	200	1	0	886.0057	0	1	
40	1	897.3389	0	437	2761	2975	4263	551	-12.5	200	1	0	900.5128	0	1	
41	1	906.9792	0	437	2761	2975	4263	551	-12.5	200	1	1	908.2654	1	1	
42	0	910.2683	0	936	1551	2975	4263	576	-12.5	200	0	1	911.4087	0	1	
43	1	919.9843	0	936	1551	2975	4263	576	-12.5	200	0	0	922.8943	1	1	
44	0	930.5612	0	437	2761	2975	4263	526	-3.5	200	1	0	932.6839	0	1	
45	1	936.8696	1	437	2761	2975	4263	526	-3.5	200	1	1	940.7541	1	1	
46	0	945.1061	0	437	2761	2975	4263	626	-12.5	200	1	0	946.6177	0	1	
47	1	960.8409	0	437	2761	2975	4263	626	-12.5	200	1	1	962.2236	1	1	
48	0	966.4564	0	437	2761	2975	4263	726	-7.5	200	1	0	969.8943	0	1	
49	1	979.8750	0	437	2761	2975	4263	726	-7.5	200	1	0	982.6107	0	1	
50	1	989.4906	0	437	2761	2975	4263	726	-7.5	200	1	1	990.8884	1	1	
51	0	1000.4083	0	936	1551	2975	4263	501	-8.5	200	0	0	1002.6249	1	1	
52	0	1008.9986	0	936	1551	2975	4263	601	-17.5	200	0	1	1015.0225	0	1	
53	1	1018.7520	0	936	1551	2975	4263	601	-17.5	200	0	1	1026.6192	0	1	
54	1	1035.0085	0	936	1551	2975	4263	601	-17.5	200	0	0	1037.2840	1	1	
55	0	1045.5650	1	936	1551	2975	4263	651	-12.5	200	0	0	1046.8482	1	1	
56	0	1053.7220	0	936	1551	2975	4263	701	-8.5	200	0	1	1065.2075	0	1	
57	1	1073.6197	0	936	1551	2975	4263	701	-8.5	200	0	1	1076.7492	0	1	
58	1	1084.3696	0	936	1551	2975	4263	701	-8.5	200	0	0	1087.3571	1	1	
59	0	1093.5049	0	437	2761	2975	4263	626	-3.5	200	1	0	1095.1069	0	1	
60	1	1100.3693	0	437	2761	2975	4263	626	-3.5	200	1	1	1101.4858	1	1	
61	0	1103.3302	0	936	1551	2975	4263	676	-12.5	200	0	1	1104.4945	0	1	
62	1	1112.3942	0	936	1551	2975	4263	676	-12.5	200	0	0	1113.8856	1	1	
63	0	1121.2378	0	437	2761	2975	4263	576	-12.5	200	1	0	1123.6526	0	1	
64	1	1131.1766	1	437	2761	2975	4263	576	-12.5	200	1	1	1133.0586	1	1	
65	0	1136.4173	1	936	1551	2975	4263	751	-17.5	200	0	0	1144.8050	1	1	
66	0	1152.9002	1	437	2761	2975	4263	651	-7.5	200	1	1	1154.0570	1	1	
67	0	1170.1076	0	437	2761	2975	4263	526	-12.5	200	1	0	1171.7154	0	1	
68	1	1177.9555	1	437	2761	2975	4263	526	-12.5	200	1	0	1182.2223	0	1	
69	1	1190.7209	1	437	2761	2975	4263	526	-12.5	200	1	1	1194.0231	1	1	
70	0	1206.4393	1	936	1551	2975	4263	726	-12.5	200	0	0	1211.6500	1	1	
71	0	1217.9898	0	437	2761	2975	4263	551	-3.5	200	1	0	1220.6538	0	1	
72	1	1227.3010	0	437	2761	2975	4263	551	-3.5	200	1	1	1228.7512	1	1	
73	0	1230.3342	1	936	1551	2975	4263	501	-8.5	200	0	0	1236.2537	1	1	
74	0	1244.9716	0	936	1551	2975	4263	576	-17.5	200	0	0	1246.6309	1	1	
75	0	1253.3151	1	437	2761	2975	4263	501	-7.5	200	1	1	1258.1477	1	1	
76	0	1265.8128	1	936	1551	2975	4263	526	-17.5	200	0	0	1270.8521	1	1	
77	0	1278.1138	1	437	2761	2975	4263	626	-7.5	200	1	1	1282.3230	1	1	
78	0	1287.6889	0	936	1551	2975	4263	551	-8.5	200	0	0	1289.6933	1	1	
79	0	1296.1966	1	437	2761	2975	4263	676	-3.5	200	1	0	1301.7001	0	1	
80	1	1315.2210	0	437	2761	2975	4263	676	-3.5	200	1	0	1317.1395	0	1	
81	1	1323.1086	0	437	2761	2975	4263	676	-3.5	200	1	1	1324.4857	1	1	
82	0	1330.9651	0	437	2761	2975	4263	726	-12.5	200	1	0	1332.4299	0	1	
83	1	1342.8041	0	437	2761	2975	4263	726	-12.5	200	1	0	1345.3771	0	1	
84	1	1352.2167	0	437	2761	2975	4263	726	-12.5	200	1	0	1353.8181	0	1	
85	1	1360.1520	0	437	2761	2975	4263	726	-12.5	200	1	1	1361.5528	1	1	
86	0	1363.3408	0	936	1551	2975	4263	701	-12.5	200	0	1	1364.5188	0	1	
87	1	1372.0479	0	936	1551	2975	4263	701	-12.5	200	0	1	1373.6202	0	1	
88	1	1391.1081	0	936	1551	2975	4263	701	-12.5	200	0	0	1396.6972	1	1	
89	0	1398.7412	0	936	1551	2975	4263	751	-12.5	200	0	1	1399.6691	0	1	
90	1	1413.2421	0	936	1551	2975	4263	751	-12.5	200	0	0	1414.3223	1	1	
91	0	1421.2501	0	437	2761	2975	4263	651	-7.5	200	1	1	1426.5205	1	1	
92	0	1432.0435	1	936	1551	2975	4263	651	-17.5	200	0	1	1436.4933	0	1	
93	1	1445.0314	0	936	1551	2975	4263	651	-17.5	200	0	0	1446.4744	1	1	
94	0	1452.8114	0	936	1551	2975	4263	751	-8.5	200	0	0	1453.8763	1	1	
95	0	1459.3943	0	437	2761	2975	4263	501	-3.5	200	1	0	1460.8664	0	1	
96	1	1468.8928	1	437	2761	2975	4263	501	-3.5	200	1	1	1471.1161	1	1	
97	0	1476.2038	0	437	2761	2975	4263	626	-12.5	200	1	0	1477.4775	0	1	
98	1	1484.7099	0	437	2761	2975	4263	626	-12.5	200	1	0	1490.0152	0	1	
99	1	1495.0184	0	437	2761	2975	4263	626	-12.5	200	1	1	1496.6445	1	1	
100	0	1501.6554	1	936	1551	2975	4263	726	-12.5	200	0	1	1511.3552	0	1	
101	1	1517.7759	0	936	1551	2975	4263	726	-12.5	200	0	1	1519.0247	0	1	
102	1	1525.7254	0	936	1551	2975	4263	726	-12.5	200	0	0	1526.9531	1	1	
103	0	1533.4593	1	437	2761	2975	4263	676	-3.5	200	1	1	1536.1999	1	1	
104	0	1541.8805	0	437	2761	2975	4263	576	-12.5	200	1	0	1544.3301	0	1	
105	1	1551.5872	0	437	2761	2975	4263	576	-12.5	200	1	1	1553.1604	1	1	
106	0	1557.7363	1	936	1551	2975	4263	551	-17.5	200	0	0	1560.8190	1	1	
107	0	1568.2283	1	936	1551	2975	4263	701	-8.5	200	0	1	1572.6025	0	1	
108	1	1576.9582	0	936	1551	2975	4263	701	-8.5	200	0	0	1578.3333	1	1	
