Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature
49,0,1615.694,0,6,30,250,951,4.5,7,1616.781,0,736148.682871,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
50,0,1625.107,0,6,30,250,1001,0.0,7,1626.535,0,736148.682982,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
51,0,1637.314,0,6,30,250,501,9.0,4,1638.31,0,736148.683119,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
52,0,1644.507,0,4,-30,250,601,0.0,4,1645.938,1,736148.683207,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
53,0,1656.898,0,8,90,250,951,9.0,8,1657.918,1,736148.683346,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
54,0,1666.258,0,3,-60,250,851,4.5,4,1667.098,0,736148.683453,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
55,0,1676.069,0,7,60,250,1001,0.0,7,1677.039,1,736148.683567,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
56,0,1685.421,0,5,0,250,801,4.5,5,1686.499,1,736148.683677,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
57,0,1694.415,0,2,-90,250,701,9.0,4,1695.062,0,736148.683778,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0
58,0,1703.907,0,4,-30,250,751,4.5,4,1704.784,1,736148.683888,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
59,0,1712.298,0,5,0,250,551,9.0,8,1714.198,0,736148.683998,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
60,0,1727.366,0,5,0,250,901,0.0,4,1728.374,0,736148.684161,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
61,0,1741.571,1,4,-30,250,601,0.0,5,1742.639,0,736148.684327,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
62,0,1749.274,0,7,60,250,651,4.5,7,1751.335,1,736148.684427,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
