Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
28	1	1216.2192	0	460	1105	2857	4205	601	14.5	200	0	0	1217.2174	1	1	
29	0	1221.9173	0	460	1105	2857	4205	951	17.5	200	0	1	1223.1070	0	1	
30	1	1227.5635	0	460	1105	2857	4205	951	17.5	200	0	0	1228.5666	1	1	
31	0	1233.9215	0	460	1105	2857	4205	801	17.5	200	0	0	1235.0798	1	0	
32	0	1239.7342	0	730	2058	2857	4205	901	2.5	200	1	1	1240.9857	1	1	
33	0	1245.4905	0	460	1105	2857	4205	851	2.5	200	0	0	1246.9810	1	0	
34	0	1251.8112	0	730	2058	2857	4205	701	8.5	200	1	1	1253.2321	1	0	
35	0	1258.1500	1	460	1105	2857	4205	551	5.5	200	0	1	1262.7515	0	0	
36	1	1267.5382	0	460	1105	2857	4205	551	5.5	200	0	0	1268.7949	1	0	
37	0	1273.2269	1	730	2058	2857	4205	651	17.5	200	1	1	1279.0649	1	0	
38	0	1283.8780	1	460	1105	2857	4205	851	2.5	200	0	1	1290.3012	0	1	
39	1	1294.3436	0	460	1105	2857	4205	851	2.5	200	0	0	1295.7087	1	1	
40	0	1300.4688	0	460	1105	2857	4205	751	5.5	200	0	1	1302.0585	0	1	
41	1	1307.2777	0	460	1105	2857	4205	751	5.5	200	0	0	1308.5664	1	1	
42	0	1313.8869	0	730	2058	2857	4205	651	14.5	200	1	1	1315.7450	1	0	
43	0	1320.2129	0	460	1105	2857	4205	501	14.5	200	0	0	1322.1419	1	0	
44	0	1328.7154	0	460	1105	2857	4205	1001	8.5	200	0	1	1329.9510	0	1	
45	1	1337.5627	1	460	1105	2857	4205	1001	8.5	200	0	0	1338.5633	1	1	
46	0	1344.0982	0	460	1105	2857	4205	901	11.5	200	0	1	1347.8135	0	1	
47	1	1351.9947	0	460	1105	2857	4205	901	11.5	200	0	0	1353.7691	1	1	
48	0	1358.2855	0	460	1105	2857	4205	801	-0.5	200	0	1	1360.1489	0	1	
49	1	1364.4184	0	460	1105	2857	4205	801	-0.5	200	0	0	1366.9729	1	1	
50	0	1372.0716	0	730	2058	2857	4205	701	14.5	200	1	1	1373.6832	1	1	
51	0	1377.9716	0	730	2058	2857	4205	551	11.5	200	1	1	1379.7238	1	1	
52	0	1384.4460	0	730	2058	2857	4205	951	8.5	200	1	1	1386.0404	1	0	
53	0	1390.4092	1	730	2058	2857	4205	501	17.5	200	1	1	1394.7155	1	1	
54	0	1399.5337	1	460	1105	2857	4205	701	8.5	200	0	1	1404.8997	0	0	
55	1	1409.7303	0	460	1105	2857	4205	701	8.5	200	0	0	1411.7252	1	0	
56	0	1416.4191	0	460	1105	2857	4205	851	17.5	200	0	1	1417.9004	0	1	
57	1	1423.4583	0	460	1105	2857	4205	851	17.5	200	0	0	1425.0908	1	1	
58	0	1429.8754	0	460	1105	2857	4205	1001	2.5	200	0	0	1430.8993	1	0	
59	0	1434.7955	0	460	1105	2857	4205	601	17.5	200	0	1	1436.6476	0	0	
60	1	1441.8977	0	460	1105	2857	4205	601	17.5	200	0	0	1443.1715	1	0	
61	0	1448.2565	0	730	2058	2857	4205	651	11.5	200	1	1	1450.0382	1	0	
62	0	1454.1446	0	730	2058	2857	4205	901	5.5	200	1	1	1455.9371	1	0	
63	0	1461.3298	0	730	2058	2857	4205	751	2.5	200	1	1	1463.3368	1	0	
64	0	1468.2413	0	730	2058	2857	4205	801	2.5	200	1	0	1469.7506	0	1	
65	1	1475.7457	0	730	2058	2857	4205	801	2.5	200	1	1	1477.0269	1	1	
66	0	1482.6265	0	730	2058	2857	4205	951	-0.5	200	1	1	1484.0278	1	0	
67	0	1489.0466	1	730	2058	2857	4205	701	5.5	200	1	1	1493.7176	1	1	
