Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
84	1	1025.319	0	460	1105	2857	4205	1001	10.0	200	0	8	1026.162	1	10	0	-150	100	
85	0	1035.851	0	460	1105	2857	4205	801	3.3	200	0	8	1036.635	1	10	1	-150	100	
86	0	1044.457	0	730	2058	2857	4205	601	10.0	200	1	2	1045.523	1	10	1	-150	100	
87	0	1057.379	0	730	2058	2857	4205	701	-6.7	200	1	8	1058.197	0	10	0	-150	100	
88	1	1065.299	0	730	2058	2857	4205	701	-6.7	200	1	2	1066.190	1	10	0	-150	100	
89	0	1078.743	0	730	2058	2857	4205	801	3.3	200	1	8	1079.544	0	10	0	-150	100	
90	1	1084.931	0	730	2058	2857	4205	801	3.3	200	1	2	1086.034	1	10	0	-150	100	
91	0	1094.436	0	460	1105	2857	4205	901	-10.0	200	0	8	1095.045	1	10	1	-150	100	
92	0	1103.493	0	460	1105	2857	4205	501	6.7	200	0	8	1104.475	1	10	1	-150	100	
93	0	1122.554	0	730	2058	2857	4205	1001	0.0	200	1	2	1123.420	1	10	0	-150	100	
94	0	1131.756	0	730	2058	2857	4205	801	-10.0	200	1	2	1132.469	1	10	0	-150	100	
95	0	1143.859	0	730	2058	2857	4205	601	10.0	200	1	2	1144.830	1	10	1	-150	100	
96	0	1154.333	0	460	1105	2857	4205	501	6.7	200	0	8	1155.127	1	10	1	-150	100	
97	0	1170.408	0	460	1105	2857	4205	701	-6.7	200	0	8	1171.436	1	10	0	-150	100	
98	0	1181.128	0	460	1105	2857	4205	501	-3.3	200	0	8	1181.830	1	10	0	-150	100	
99	0	1191.219	0	730	2058	2857	4205	601	3.3	200	1	2	1192.189	1	10	1	-150	100	
100	0	1208.417	0	730	2058	2857	4205	901	-10.0	200	1	2	1209.239	1	10	1	-150	100	
101	0	1219.589	0	460	1105	2857	4205	801	0.0	200	0	8	1220.284	1	10	1	-150	100	
102	0	1231.997	0	730	2058	2857	4205	1001	10.0	200	1	2	1233.044	1	10	0	-150	100	
103	0	1246.811	0	460	1105	2857	4205	901	6.7	200	0	2	1247.627	0	10	0	-150	100	
104	1	1256.249	0	460	1105	2857	4205	901	6.7	200	0	2	1257.033	0	10	0	-150	100	
105	1	1261.019	0	460	1105	2857	4205	901	6.7	200	0	2	1261.787	0	10	0	-150	100	
106	1	1265.720	0	460	1105	2857	4205	901	6.7	200	0	2	1267.169	0	10	0	-150	100	
107	1	1271.149	0	460	1105	2857	4205	901	6.7	200	0	8	1271.851	1	10	0	-150	100	
108	0	1282.498	0	460	1105	2857	4205	701	3.3	200	0	8	1283.594	1	10	0	-150	100	
109	0	1298.469	0	730	2058	2857	4205	501	-6.7	200	1	8	1299.628	0	10	1	-150	100	
110	1	1303.580	0	730	2058	2857	4205	501	-6.7	200	1	8	1304.667	0	10	0	-150	100	
111	1	1308.261	0	730	2058	2857	4205	501	-6.7	200	1	2	1309.333	1	10	0	-150	100	
112	0	1316.487	0	460	1105	2857	4205	601	3.3	200	0	2	1317.512	0	10	1	-150	100	
113	1	1326.519	0	460	1105	2857	4205	601	3.3	200	0	8	1327.496	1	10	0	-150	100	
114	0	1334.775	0	730	2058	2857	4205	801	6.7	200	1	2	1335.708	1	10	0	-150	100	
115	0	1343.084	0	460	1105	2857	4205	701	-10.0	200	0	8	1343.882	1	10	0	-150	100	
116	0	1359.630	0	730	2058	2857	4205	801	-6.7	200	1	2	1360.382	1	10	0	-150	100	
117	0	1370.674	0	460	1105	2857	4205	501	-3.3	200	0	2	1371.738	0	10	1	-150	100	
118	1	1380.187	0	460	1105	2857	4205	501	-3.3	200	0	8	1381.121	1	10	0	-150	100	
119	0	1394.614	0	460	1105	2857	4205	901	0.0	200	0	8	1395.460	1	10	0	-150	100	
