Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
148,12,2,2014,15,46,42,5537,20.6,5537,20.3
149,12,2,2014,15,46,43,5537,20.6,5537,20.3
150,12,2,2014,15,46,44,5537,20.6,5537,20.3
151,12,2,2014,15,46,45,5537,20.6,5537,20.3
152,12,2,2014,15,46,46,5537,20.6,5537,20.3
153,12,2,2014,15,46,47,5537,20.6,5537,20.3
154,12,2,2014,15,46,48,5537,20.6,5537,20.3
155,12,2,2014,15,46,50,5537,20.6,5537,20.3
156,12,2,2014,15,46,51,5537,20.6,5537,20.3
157,12,2,2014,15,46,52,5537,20.6,5537,20.3
158,12,2,2014,15,46,53,5537,20.6,5537,20.3
159,12,2,2014,15,46,54,5537,20.6,1333,20.3
160,12,2,2014,15,46,55,5537,20.6,1333,20.3
161,12,2,2014,15,46,56,5537,20.6,1337,20.3
162,12,2,2014,15,46,57,5537,20.6,787,20.3
163,12,2,2014,15,46,58,5537,20.6,787,20.3
164,12,2,2014,15,46,59,5537,20.6,383,20.3
165,12,2,2014,15,47,0,5537,20.6,383,20.3
166,12,2,2014,15,47,1,5537,20.6,5537,20.3
167,12,2,2014,15,47,2,5537,20.6,36,20.3
168,12,2,2014,15,47,3,5537,20.6,36,20.3
169,12,2,2014,15,47,4,5537,20.6,36,20.3
170,12,2,2014,15,47,5,5537,20.6,36,20.3
171,12,2,2014,15,47,6,5537,20.6,36,20.3
172,12,2,2014,15,47,7,5537,20.6,36,20.3
173,12,2,2014,15,47,8,137,20.6,36,20.3
174,12,2,2014,15,47,9,137,20.6,36,20.3
175,12,2,2014,15,47,10,44,20.6,36,20.3
176,12,2,2014,15,47,11,39,20.6,36,20.3
177,12,2,2014,15,47,12,39,20.6,36,20.3
178,12,2,2014,15,47,13,39,20.6,36,20.3
179,12,2,2014,15,47,14,38,20.6,36,20.3
180,12,2,2014,15,47,15,38,20.6,36,20.3
181,12,2,2014,15,47,16,38,20.6,36,20.3
182,12,2,2014,15,47,17,38,20.6,36,20.3
183,12,2,2014,15,47,18,38,20.6,36,20.3
184,12,2,2014,15,47,19,38,20.6,36,20.3
185,12,2,2014,15,47,20,38,20.6,36,20.3
186,12,2,2014,15,47,21,38,20.6,36,20.3
187,12,2,2014,15,47,22,38,20.6,36,20.3
188,12,2,2014,15,47,23,38,20.6,36,20.3
189,12,2,2014,15,47,24,38,20.6,36,20.3
190,12,2,2014,15,47,25,38,20.6,36,20.3
191,12,2,2014,15,47,26,38,20.6,36,20.3
192,12,2,2014,15,47,27,38,20.6,36,20.3
193,12,2,2014,15,47,28,38,20.6,36,20.3
194,12,2,2014,15,47,29,38,20.6,36,20.3
195,12,2,2014,15,47,30,38,20.6,36,20.3
196,12,2,2014,15,47,31,38,20.6,36,20.3
197,12,2,2014,15,47,32,38,20.6,36,20.3
198,12,2,2014,15,47,33,38,20.6,36,20.3
199,12,2,2014,15,47,34,38,20.6,36,20.3
200,12,2,2014,15,47,35,38,20.6,36,20.3
201,12,2,2014,15,47,36,38,20.6,36,20.3
202,12,2,2014,15,47,37,38,20.6,36,20.3
203,12,2,2014,15,47,38,38,20.6,36,20.3
204,12,2,2014,15,47,39,38,20.6,36,20.3
205,12,2,2014,15,47,40,38,20.6,36,20.3
206,12,2,2014,15,47,41,38,20.6,36,20.3
207,12,2,2014,15,47,42,38,20.6,36,20.3
208,12,2,2014,15,47,43,38,20.6,36,20.3
209,12,2,2014,15,47,44,38,20.6,36,20.3
210,12,2,2014,15,47,45,38,20.6,36,20.3
211,12,2,2014,15,47,46,38,20.6,36,20.3
212,12,2,2014,15,47,47,38,20.6,36,20.3
213,12,2,2014,15,47,48,38,20.6,36,20.3
214,12,2,2014,15,47,49,38,20.6,36,20.3
215,12,2,2014,15,47,50,38,20.6,36,20.3
216,12,2,2014,15,47,51,38,20.6,36,20.3
217,12,2,2014,15,47,52,38,20.6,36,20.3
218,12,2,2014,15,47,53,38,20.6,36,20.3
219,12,2,2014,15,47,54,38,20.6,36,20.3
220,12,2,2014,15,47,55,38,20.6,36,20.3
221,12,2,2014,15,47,56,38,20.6,36,20.3
222,12,2,2014,15,47,57,38,20.6,36,20.3
223,12,2,2014,15,47,58,38,20.6,36,20.3
224,12,2,2014,15,47,59,38,20.6,36,20.3
225,12,2,2014,15,48,0,38,20.6,36,20.3
226,12,2,2014,15,48,2,38,20.6,36,20.3
227,12,2,2014,15,48,3,38,20.6,36,20.3
228,12,2,2014,15,48,4,38,20.6,36,20.3
229,12,2,2014,15,48,5,38,20.6,36,20.3
230,12,2,2014,15,48,6,38,20.6,36,20.3
231,12,2,2014,15,48,7,38,20.6,36,20.3
232,12,2,2014,15,48,8,38,20.6,36,20.3
233,12,2,2014,15,48,9,38,20.6,36,20.3
234,12,2,2014,15,48,10,38,20.6,36,20.3
235,12,2,2014,15,48,11,38,20.6,36,20.3
236,12,2,2014,15,48,12,38,20.6,36,20.3
237,12,2,2014,15,48,13,38,20.6,36,20.3
238,12,2,2014,15,48,14,38,20.6,36,20.3
239,12,2,2014,15,48,15,38,20.6,36,20.3
240,12,2,2014,15,48,16,38,20.6,36,20.3
241,12,2,2014,15,48,17,38,20.6,36,20.3
