Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
181,12,5,2014,15,31,52,5537,20.6,5537,20.3
182,12,5,2014,15,31,53,5537,20.6,5537,20.3
183,12,5,2014,15,31,54,5537,20.6,5537,20.3
184,12,5,2014,15,31,55,5537,20.6,5537,20.3
185,12,5,2014,15,31,56,5537,20.6,5537,20.3
186,12,5,2014,15,31,57,5537,20.6,5537,20.3
187,12,5,2014,15,31,58,5537,20.6,5537,20.3
188,12,5,2014,15,31,59,5537,20.6,5537,20.3
189,12,5,2014,15,32,0,5537,20.6,5537,20.3
190,12,5,2014,15,32,1,5537,20.6,5537,20.3
191,12,5,2014,15,32,2,5537,20.6,5537,20.3
192,12,5,2014,15,32,3,5537,20.6,5537,20.3
193,12,5,2014,15,32,4,5537,20.6,5537,20.3
194,12,5,2014,15,32,5,5537,20.6,5537,20.3
195,12,5,2014,15,32,6,5537,20.6,5537,20.3
196,12,5,2014,15,32,7,5537,20.6,5537,20.3
197,12,5,2014,15,32,8,5537,20.6,5537,20.3
198,12,5,2014,15,32,9,5537,20.6,5537,20.3
199,12,5,2014,15,32,10,5537,20.6,5537,20.3
200,12,5,2014,15,32,11,5537,20.6,5537,20.3
201,12,5,2014,15,32,12,5537,20.6,5537,20.3
202,12,5,2014,15,32,13,5537,20.6,5537,20.3
203,12,5,2014,15,32,14,5537,20.6,5537,20.3
204,12,5,2014,15,32,15,5537,20.6,5537,20.3
205,12,5,2014,15,32,16,5537,20.6,5537,20.3
206,12,5,2014,15,32,17,5537,20.6,5537,20.3
207,12,5,2014,15,32,18,5537,20.6,5537,20.3
208,12,5,2014,15,32,19,5537,20.6,5537,20.3
209,12,5,2014,15,32,20,5537,20.6,5537,20.3
210,12,5,2014,15,32,21,5537,20.6,5537,20.3
211,12,5,2014,15,32,22,5537,20.6,5537,20.3
212,12,5,2014,15,32,23,5537,20.6,5537,20.3
213,12,5,2014,15,32,24,5537,20.6,5537,20.3
