Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
254,12,12,2014,14,10,52,5537,20.3,5537,20.3
255,12,12,2014,14,10,53,5537,20.3,5537,20.3
256,12,12,2014,14,10,54,5537,20.3,5537,20.3
257,12,12,2014,14,10,55,5537,20.3,5537,20.3
258,12,12,2014,14,10,56,5537,20.3,5537,20.3
259,12,12,2014,14,10,57,5537,20.3,5537,20.3
260,12,12,2014,14,10,58,5537,20.3,5537,20.3
261,12,12,2014,14,10,59,5537,20.3,5537,20.3
262,12,12,2014,14,11,0,5537,20.3,5537,20.3
263,12,12,2014,14,11,1,5537,20.3,5537,20.3
264,12,12,2014,14,11,2,5537,20.3,5537,20.3
265,12,12,2014,14,11,3,5537,20.3,5537,20.3
266,12,12,2014,14,11,4,5537,20.3,5537,20.3
267,12,12,2014,14,11,5,5537,20.3,5537,20.3
268,12,12,2014,14,11,6,5537,20.3,5537,20.3
269,12,12,2014,14,11,7,5537,20.3,5537,20.3
270,12,12,2014,14,11,8,5537,20.3,5537,20.3
271,12,12,2014,14,11,9,5537,20.3,5537,20.3
272,12,12,2014,14,11,10,5537,20.3,5537,20.3
273,12,12,2014,14,11,11,5537,20.3,5537,20.3
274,12,12,2014,14,11,12,5537,20.3,5537,20.3
275,12,12,2014,14,11,13,5537,20.3,5537,20.3
276,12,12,2014,14,11,14,5537,20.3,5537,20.3
277,12,12,2014,14,11,15,5537,20.3,5537,20.3
278,12,12,2014,14,11,16,5537,20.3,5537,20.3
279,12,12,2014,14,11,17,5537,20.3,5537,20.3
280,12,12,2014,14,11,18,5537,20.3,5537,20.3
281,12,12,2014,14,11,19,5537,20.3,5537,20.3
282,12,12,2014,14,11,20,5537,20.3,5537,20.3
283,12,12,2014,14,11,21,5537,20.3,5537,20.3
284,12,12,2014,14,11,22,5537,20.3,5537,20.3
285,12,12,2014,14,11,23,5537,20.3,5537,20.3
286,12,12,2014,14,11,24,5537,20.3,5537,20.3
287,12,12,2014,14,11,25,5537,20.3,5537,20.3
288,12,12,2014,14,11,26,5537,20.3,5537,20.3
289,12,12,2014,14,11,28,5537,20.3,5537,20.3
290,12,12,2014,14,11,29,5537,20.3,5537,20.3
291,12,12,2014,14,11,30,5537,20.3,5537,20.3
292,12,12,2014,14,11,31,5537,20.3,5537,20.3
293,12,12,2014,14,11,32,5537,20.3,5537,20.3
294,12,12,2014,14,11,33,5537,20.3,5537,20.3
295,12,12,2014,14,11,34,5537,20.3,5537,20.3
296,12,12,2014,14,11,35,5537,20.3,5537,20.3
297,12,12,2014,14,11,36,5537,20.3,5537,20.3
298,12,12,2014,14,11,37,5537,20.3,5537,20.3
299,12,12,2014,14,11,38,5537,20.3,5537,20.3
300,12,12,2014,14,11,39,5537,20.3,5537,20.3
301,12,12,2014,14,11,40,5537,20.3,5537,20.3
302,12,12,2014,14,11,41,5537,20.3,5537,20.3
303,12,12,2014,14,11,42,5537,20.3,5537,20.3
304,12,12,2014,14,11,43,5537,20.3,5537,20.3
305,12,12,2014,14,11,44,5537,20.3,5537,20.3
306,12,12,2014,14,11,45,5537,20.3,5537,20.3
307,12,12,2014,14,11,46,5537,20.3,5537,20.3
308,12,12,2014,14,11,47,5537,20.3,5537,20.3
309,12,12,2014,14,11,48,5537,20.3,5537,20.3
310,12,12,2014,14,11,49,5537,20.3,5537,20.3
311,12,12,2014,14,11,50,5537,20.3,5537,20.3
312,12,12,2014,14,11,51,5537,20.3,5537,20.3
313,12,12,2014,14,11,52,5537,20.3,5537,20.3
314,12,12,2014,14,11,53,5537,20.3,5537,20.3
315,12,12,2014,14,11,54,5537,20.3,5537,20.3
316,12,12,2014,14,11,55,5537,20.3,5537,20.3
317,12,12,2014,14,11,56,5537,20.3,5537,20.3
318,12,12,2014,14,11,57,5537,20.3,5537,20.3
319,12,12,2014,14,11,58,5537,20.3,5537,20.3
320,12,12,2014,14,11,59,5537,20.3,5537,20.3
321,12,12,2014,14,12,0,5537,20.3,5537,20.3
322,12,12,2014,14,12,1,5537,20.3,5537,20.3
323,12,12,2014,14,12,2,5537,20.3,5537,20.3
324,12,12,2014,14,12,3,5537,20.3,5537,20.3
