Condition,Spkr_Rad,nTrials,nCorrect,pCorrect,iteration
Bilateral,-1.0471975511965976,132,49,37.121212121212125,26
Bilateral,-0.5235987755982988,132,41,31.060606060606062,26
Bilateral,0.0,132,22,16.666666666666664,26
Bilateral,0.5235987755982988,132,42,31.818181818181817,26
Bilateral,1.0471975511965976,132,40,30.303030303030305,26
Bilateral,1.5707963267948966,132,54,40.909090909090914,26
Control,-1.5707963267948966,132,113,85.60606060606061,26
Control,-1.0471975511965976,132,66,50.0,26
Control,-0.5235987755982988,132,73,55.3030303030303,26
Control,0.0,132,41,31.060606060606062,26
Control,0.5235987755982988,132,65,49.24242424242424,26
Control,1.0471975511965976,132,80,60.60606060606061,26
Control,1.5707963267948966,132,91,68.93939393939394,26
Bilateral,-1.5707963267948966,132,130,98.48484848484848,27
Bilateral,-1.0471975511965976,132,44,33.33333333333333,27
Bilateral,-0.5235987755982988,132,28,21.21212121212121,27
Bilateral,0.0,132,33,25.0,27
Bilateral,0.5235987755982988,132,64,48.484848484848484,27
Bilateral,1.0471975511965976,132,48,36.36363636363637,27
Bilateral,1.5707963267948966,132,59,44.696969696969695,27
Control,-1.5707963267948966,132,116,87.87878787878788,27
Control,-1.0471975511965976,132,79,59.84848484848485,27
Control,-0.5235987755982988,132,73,55.3030303030303,27
Control,0.0,132,42,31.818181818181817,27
Control,0.5235987755982988,132,79,59.84848484848485,27
Control,1.0471975511965976,132,84,63.63636363636363,27
Control,1.5707963267948966,132,75,56.81818181818182,27
Bilateral,-1.5707963267948966,132,130,98.48484848484848,28
Bilateral,-1.0471975511965976,132,38,28.78787878787879,28
Bilateral,-0.5235987755982988,132,37,28.030303030303028,28
Bilateral,0.0,132,36,27.27272727272727,28
Bilateral,0.5235987755982988,132,57,43.18181818181818,28
Bilateral,1.0471975511965976,132,38,28.78787878787879,28
Bilateral,1.5707963267948966,132,64,48.484848484848484,28
Control,-1.5707963267948966,132,111,84.0909090909091,28
Control,-1.0471975511965976,132,99,75.0,28
Control,-0.5235987755982988,132,80,60.60606060606061,28
Control,0.0,132,51,38.63636363636363,28
Control,0.5235987755982988,132,69,52.27272727272727,28
Control,1.0471975511965976,132,78,59.09090909090909,28
Control,1.5707963267948966,132,75,56.81818181818182,28
Bilateral,-1.5707963267948966,132,129,97.72727272727273,29
Bilateral,-1.0471975511965976,132,42,31.818181818181817,29
Bilateral,-0.5235987755982988,132,30,22.727272727272727,29
Bilateral,0.0,132,21,15.909090909090908,29
Bilateral,0.5235987755982988,132,53,40.15151515151515,29
Bilateral,1.0471975511965976,132,57,43.18181818181818,29
Bilateral,1.5707963267948966,132,64,48.484848484848484,29
Control,-1.5707963267948966,132,108,81.81818181818183,29
Control,-1.0471975511965976,132,78,59.09090909090909,29
Control,-0.5235987755982988,132,64,48.484848484848484,29
Control,0.0,132,38,28.78787878787879,29
Control,0.5235987755982988,132,66,50.0,29
Control,1.0471975511965976,132,79,59.84848484848485,29
Control,1.5707963267948966,132,77,58.333333333333336,29
Bilateral,-1.5707963267948966,132,127,96.21212121212122,30
Bilateral,-1.0471975511965976,132,36,27.27272727272727,30
Bilateral,-0.5235987755982988,132,33,25.0,30
Bilateral,0.0,132,40,30.303030303030305,30
Bilateral,0.5235987755982988,132,42,31.818181818181817,30
Bilateral,1.0471975511965976,132,44,33.33333333333333,30
Bilateral,1.5707963267948966,132,65,49.24242424242424,30
Control,-1.5707963267948966,132,105,79.54545454545455,30
Control,-1.0471975511965976,132,73,55.3030303030303,30
Control,-0.5235987755982988,132,68,51.515151515151516,30
Control,0.0,132,51,38.63636363636363,30
Control,0.5235987755982988,132,70,53.03030303030303,30
Control,1.0471975511965976,132,64,48.484848484848484,30
Control,1.5707963267948966,132,73,55.3030303030303,30
Bilateral,-1.5707963267948966,132,126,95.45454545454545,31
Bilateral,-1.0471975511965976,132,46,34.84848484848485,31
Bilateral,-0.5235987755982988,132,30,22.727272727272727,31
Bilateral,0.0,132,35,26.515151515151516,31
Bilateral,0.5235987755982988,132,55,41.66666666666667,31
Bilateral,1.0471975511965976,132,42,31.818181818181817,31
Bilateral,1.5707963267948966,132,60,45.45454545454545,31
Control,-1.5707963267948966,132,115,87.12121212121212,31
Control,-1.0471975511965976,132,84,63.63636363636363,31
Control,-0.5235987755982988,132,69,52.27272727272727,31
Control,0.0,132,40,30.303030303030305,31
Control,0.5235987755982988,132,70,53.03030303030303,31
Control,1.0471975511965976,132,75,56.81818181818182,31
Control,1.5707963267948966,132,87,65.9090909090909,31
Bilateral,-1.5707963267948966,132,127,96.21212121212122,32
Bilateral,-1.0471975511965976,132,46,34.84848484848485,32
Bilateral,-0.5235987755982988,132,31,23.484848484848484,32
Bilateral,0.0,132,30,22.727272727272727,32
Bilateral,0.5235987755982988,132,50,37.878787878787875,32
Bilateral,1.0471975511965976,132,48,36.36363636363637,32
Bilateral,1.5707963267948966,132,65,49.24242424242424,32
Control,-1.5707963267948966,132,110,83.33333333333334,32
Control,-1.0471975511965976,132,77,58.333333333333336,32
Control,-0.5235987755982988,132,78,59.09090909090909,32
Control,0.0,132,44,33.33333333333333,32
Control,0.5235987755982988,132,76,57.57575757575758,32
Control,1.0471975511965976,132,75,56.81818181818182,32
Control,1.5707963267948966,132,79,59.84848484848485,32
Bilateral,-1.5707963267948966,132,126,95.45454545454545,33
Bilateral,-1.0471975511965976,132,32,24.242424242424242,33
Bilateral,-0.5235987755982988,132,20,15.151515151515152,33
Bilateral,0.0,132,40,30.303030303030305,33
Bilateral,0.5235987755982988,132,47,35.60606060606061,33
Bilateral,1.0471975511965976,132,38,28.78787878787879,33
Bilateral,1.5707963267948966,132,62,46.96969696969697,33
Control,-1.5707963267948966,132,109,82.57575757575758,33
Control,-1.0471975511965976,132,71,53.78787878787878,33
Control,-0.5235987755982988,132,73,55.3030303030303,33
Control,0.0,132,48,36.36363636363637,33
Control,0.5235987755982988,132,61,46.21212121212121,33
Control,1.0471975511965976,132,77,58.333333333333336,33
Control,1.5707963267948966,132,71,53.78787878787878,33
Bilateral,-1.5707963267948966,132,129,97.72727272727273,34
Bilateral,-1.0471975511965976,132,35,26.515151515151516,34
Bilateral,-0.5235987755982988,132,38,28.78787878787879,34
Bilateral,0.0,132,36,27.27272727272727,34
Bilateral,0.5235987755982988,132,45,34.090909090909086,34
Bilateral,1.0471975511965976,132,45,34.090909090909086,34
Bilateral,1.5707963267948966,132,56,42.42424242424242,34
Control,-1.5707963267948966,132,115,87.12121212121212,34
Control,-1.0471975511965976,132,63,47.72727272727273,34
Control,-0.5235987755982988,132,75,56.81818181818182,34
Control,0.0,132,40,30.303030303030305,34
Control,0.5235987755982988,132,71,53.78787878787878,34
Control,1.0471975511965976,132,75,56.81818181818182,34
Control,1.5707963267948966,132,84,63.63636363636363,34
Bilateral,-1.5707963267948966,132,128,96.96969696969697,35
Bilateral,-1.0471975511965976,132,41,31.060606060606062,35
Bilateral,-0.5235987755982988,132,33,25.0,35
Bilateral,0.0,132,36,27.27272727272727,35
Bilateral,0.5235987755982988,132,49,37.121212121212125,35
Bilateral,1.0471975511965976,132,45,34.090909090909086,35
Bilateral,1.5707963267948966,132,64,48.484848484848484,35
Control,-1.5707963267948966,132,107,81.06060606060606,35
Control,-1.0471975511965976,132,73,55.3030303030303,35
Control,-0.5235987755982988,132,71,53.78787878787878,35
Control,0.0,132,44,33.33333333333333,35
Control,0.5235987755982988,132,71,53.78787878787878,35
Control,1.0471975511965976,132,87,65.9090909090909,35
Control,1.5707963267948966,132,76,57.57575757575758,35
Bilateral,-1.5707963267948966,132,126,95.45454545454545,36
Bilateral,-1.0471975511965976,132,37,28.030303030303028,36
Bilateral,-0.5235987755982988,132,31,23.484848484848484,36
Bilateral,0.0,132,36,27.27272727272727,36
Bilateral,0.5235987755982988,132,50,37.878787878787875,36
Bilateral,1.0471975511965976,132,44,33.33333333333333,36
Bilateral,1.5707963267948966,132,62,46.96969696969697,36
Control,-1.5707963267948966,132,113,85.60606060606061,36
Control,-1.0471975511965976,132,76,57.57575757575758,36
Control,-0.5235987755982988,132,68,51.515151515151516,36
Control,0.0,132,40,30.303030303030305,36
