Condition,nTrials,nCorrect,pCorrect,iteration
Control,522,259,49.616858237547895,32
Bilateral,522,186,35.63218390804598,33
Control,522,264,50.57471264367817,33
Bilateral,522,184,35.24904214559387,34
Control,522,267,51.14942528735632,34
Bilateral,522,197,37.73946360153257,35
Control,522,250,47.89272030651341,35
Bilateral,522,188,36.015325670498086,36
Control,522,263,50.38314176245211,36
Bilateral,522,188,36.015325670498086,37
Control,522,249,47.701149425287355,37
Bilateral,522,189,36.206896551724135,38
Control,522,247,47.31800766283525,38
Bilateral,522,196,37.547892720306514,39
Control,522,250,47.89272030651341,39
Bilateral,522,193,36.97318007662835,40
Control,522,271,51.91570881226054,40
Bilateral,522,187,35.82375478927203,41
Control,522,265,50.76628352490421,41
Bilateral,522,185,35.440613026819925,42
Control,522,248,47.509578544061306,42
Bilateral,522,189,36.206896551724135,43
Control,522,255,48.85057471264368,43
Bilateral,522,181,34.67432950191571,44
Control,522,256,49.042145593869726,44
Bilateral,522,188,36.015325670498086,45
Control,522,258,49.42528735632184,45
Bilateral,522,198,37.93103448275862,46
Control,522,263,50.38314176245211,46
Bilateral,522,200,38.31417624521073,47
Control,522,271,51.91570881226054,47
Bilateral,522,174,33.33333333333333,48
Control,522,272,52.10727969348659,48
Bilateral,522,214,40.99616858237548,49
Control,522,263,50.38314176245211,49
Bilateral,522,206,39.46360153256705,50
Control,522,253,48.46743295019157,50
Bilateral,522,193,36.97318007662835,51
Control,522,254,48.65900383141762,51
Bilateral,522,195,37.35632183908046,52
Control,522,261,50.0,52
Bilateral,522,199,38.122605363984675,53
Control,522,269,51.53256704980843,53
Bilateral,522,206,39.46360153256705,54
Control,522,250,47.89272030651341,54
Bilateral,522,213,40.804597701149426,55
Control,522,252,48.275862068965516,55
Bilateral,522,175,33.524904214559385,56
Control,522,244,46.74329501915709,56
Bilateral,522,187,35.82375478927203,57
Control,522,253,48.46743295019157,57
Bilateral,522,172,32.95019157088122,58
Control,522,254,48.65900383141762,58
Bilateral,522,208,39.84674329501915,59
Control,522,246,47.12643678160919,59
Bilateral,522,184,35.24904214559387,60
Control,522,259,49.616858237547895,60
Bilateral,522,197,37.73946360153257,61
Control,522,242,46.36015325670498,61
Bilateral,522,180,34.48275862068966,62
Control,522,260,49.808429118773944,62
Bilateral,522,181,34.67432950191571,63
Control,522,248,47.509578544061306,63
Bilateral,522,188,36.015325670498086,64
Control,522,249,47.701149425287355,64
Bilateral,522,204,39.08045977011494,65
Control,522,263,50.38314176245211,65
Bilateral,522,189,36.206896551724135,66
Control,522,251,48.08429118773947,66
Bilateral,522,189,36.206896551724135,67
Control,522,254,48.65900383141762,67
Bilateral,522,191,36.59003831417624,68
Control,522,254,48.65900383141762,68
Bilateral,522,184,35.24904214559387,69
Control,522,257,49.23371647509578,69
Bilateral,522,180,34.48275862068966,70
Control,522,267,51.14942528735632,70
Bilateral,522,194,37.16475095785441,71
Control,522,263,50.38314176245211,71
Bilateral,522,215,41.18773946360153,72
Control,522,262,50.191570881226056,72
Bilateral,522,192,36.7816091954023,73
Control,522,250,47.89272030651341,73
Bilateral,522,177,33.90804597701149,74
Control,522,263,50.38314176245211,74
Bilateral,522,194,37.16475095785441,75
Control,522,261,50.0,75
Bilateral,522,172,32.95019157088122,76
Control,522,240,45.97701149425287,76
Bilateral,522,200,38.31417624521073,77
Control,522,256,49.042145593869726,77
Bilateral,522,188,36.015325670498086,78
Control,522,264,50.57471264367817,78
Bilateral,522,193,36.97318007662835,79
Control,522,263,50.38314176245211,79
Bilateral,522,198,37.93103448275862,80
Control,522,267,51.14942528735632,80
Bilateral,522,183,35.05747126436782,81
Control,522,272,52.10727969348659,81
Bilateral,522,188,36.015325670498086,82
Control,522,255,48.85057471264368,82
Bilateral,522,189,36.206896551724135,83
Control,522,255,48.85057471264368,83
Bilateral,522,202,38.69731800766284,84
Control,522,241,46.16858237547893,84
Bilateral,522,187,35.82375478927203,85
Control,522,261,50.0,85
Bilateral,522,193,36.97318007662835,86
Control,522,252,48.275862068965516,86
Bilateral,522,196,37.547892720306514,87
Control,522,247,47.31800766283525,87
Bilateral,522,200,38.31417624521073,88
Control,522,241,46.16858237547893,88
Bilateral,522,186,35.63218390804598,89
Control,522,266,50.95785440613027,89
Bilateral,522,203,38.88888888888889,90
Control,522,268,51.34099616858238,90
Bilateral,522,197,37.73946360153257,91
Control,522,267,51.14942528735632,91
Bilateral,522,166,31.800766283524908,92
Control,522,267,51.14942528735632,92
Bilateral,522,195,37.35632183908046,93
Control,522,286,54.78927203065134,93
Bilateral,522,197,37.73946360153257,94
Control,522,250,47.89272030651341,94
Bilateral,522,199,38.122605363984675,95
Control,522,250,47.89272030651341,95
Bilateral,522,203,38.88888888888889,96
Control,522,247,47.31800766283525,96
Bilateral,522,190,36.39846743295019,97
Control,522,244,46.74329501915709,97
Bilateral,522,192,36.7816091954023,98
Control,522,231,44.252873563218394,98
Bilateral,522,199,38.122605363984675,99
Control,522,253,48.46743295019157,99
Bilateral,522,178,34.099616858237546,100
Control,522,250,47.89272030651341,100
Bilateral,522,195,37.35632183908046,101
Control,522,250,47.89272030651341,101
Bilateral,522,190,36.39846743295019,102
Control,522,264,50.57471264367817,102
Bilateral,522,190,36.39846743295019,103
Control,522,255,48.85057471264368,103
Bilateral,522,201,38.50574712643678,104
Control,522,271,51.91570881226054,104
Bilateral,522,187,35.82375478927203,105
Control,522,258,49.42528735632184,105
Bilateral,522,186,35.63218390804598,106
Control,522,258,49.42528735632184,106
Bilateral,522,195,37.35632183908046,107
Control,522,267,51.14942528735632,107
Bilateral,522,195,37.35632183908046,108
Control,522,266,50.95785440613027,108
Bilateral,522,191,36.59003831417624,109
Control,522,241,46.16858237547893,109
Bilateral,522,191,36.59003831417624,110
Control,522,257,49.23371647509578,110
Bilateral,522,166,31.800766283524908,111
Control,522,251,48.08429118773947,111
Bilateral,522,189,36.206896551724135,112
Control,522,278,53.25670498084292,112
Bilateral,522,186,35.63218390804598,113
Control,522,258,49.42528735632184,113
Bilateral,522,187,35.82375478927203,114
Control,522,249,47.701149425287355,114
Bilateral,522,198,37.93103448275862,115
Control,522,243,46.55172413793103,115
Bilateral,522,200,38.31417624521073,116
Control,522,265,50.76628352490421,116
Bilateral,522,197,37.73946360153257,117
Control,522,253,48.46743295019157,117
Bilateral,522,186,35.63218390804598,118
Control,522,251,48.08429118773947,118
Bilateral,522,199,38.122605363984675,119
Control,522,265,50.76628352490421,119
Bilateral,522,172,32.95019157088122,120
Control,522,253,48.46743295019157,120
Bilateral,522,187,35.82375478927203,121
Control,522,229,43.86973180076628,121
Bilateral,522,185,35.440613026819925,122
Control,522,253,48.46743295019157,122
Bilateral,522,177,33.90804597701149,123
Control,522,254,48.65900383141762,123
Bilateral,522,176,33.71647509578544,124
Control,522,256,49.042145593869726,124
Bilateral,522,199,38.122605363984675,125
Control,522,246,47.12643678160919,125
Bilateral,522,192,36.7816091954023,126
Control,522,267,51.14942528735632,126
Bilateral,522,187,35.82375478927203,127
Control,522,257,49.23371647509578,127
Bilateral,522,201,38.50574712643678,128
Control,522,263,50.38314176245211,128
Bilateral,522,190,36.39846743295019,129
Control,522,286,54.78927203065134,129
Bilateral,522,178,34.099616858237546,130
Control,522,259,49.616858237547895,130
Bilateral,522,183,35.05747126436782,131
Control,522,248,47.509578544061306,131
Bilateral,522,199,38.122605363984675,132
Control,522,255,48.85057471264368,132
Bilateral,522,206,39.46360153256705,133
Control,522,245,46.934865900383144,133
Bilateral,522,210,40.229885057471265,134
Control,522,260,49.808429118773944,134
Bilateral,522,190,36.39846743295019,135
Control,522,264,50.57471264367817,135
Bilateral,522,191,36.59003831417624,136
Control,522,247,47.31800766283525,136
Bilateral,522,210,40.229885057471265,137
Control,522,253,48.46743295019157,137
Bilateral,522,193,36.97318007662835,138
Control,522,257,49.23371647509578,138
Bilateral,522,206,39.46360153256705,139
Control,522,275,52.68199233716475,139
Bilateral,522,178,34.099616858237546,140
Control,522,246,47.12643678160919,140
Bilateral,522,207,39.6551724137931,141
Control,522,254,48.65900383141762,141
Bilateral,522,194,37.16475095785441,142
Control,522,244,46.74329501915709,142
Bilateral,522,206,39.46360153256705,143
Control,522,260,49.808429118773944,143
Bilateral,522,215,41.18773946360153,144
Control,522,271,51.91570881226054,144
Bilateral,522,191,36.59003831417624,145
Control,522,244,46.74329501915709,145
Bilateral,522,190,36.39846743295019,146
Control,522,282,54.02298850574713,146
Bilateral,522,191,36.59003831417624,147
Control,522,234,44.827586206896555,147
Bilateral,522,190,36.39846743295019,148
Control,522,271,51.91570881226054,148
Bilateral,522,188,36.015325670498086,149
Control,522,267,51.14942528735632,149
Bilateral,522,182,34.86590038314176,150
Control,522,257,49.23371647509578,150
Bilateral,522,187,35.82375478927203,151
Control,522,248,47.509578544061306,151
Bilateral,522,204,39.08045977011494,152
Control,522,265,50.76628352490421,152
Bilateral,522,192,36.7816091954023,153
Control,522,241,46.16858237547893,153
Bilateral,522,182,34.86590038314176,154
Control,522,254,48.65900383141762,154
Bilateral,522,193,36.97318007662835,155
Control,522,242,46.36015325670498,155
Bilateral,522,206,39.46360153256705,156
Control,522,242,46.36015325670498,156
Bilateral,522,200,38.31417624521073,157
Control,522,264,50.57471264367817,157
Bilateral,522,188,36.015325670498086,158
Control,522,254,48.65900383141762,158
Bilateral,522,200,38.31417624521073,159
Control,522,230,44.06130268199234,159
Bilateral,522,190,36.39846743295019,160
Control,522,269,51.53256704980843,160
Bilateral,522,216,41.37931034482759,161
Control,522,255,48.85057471264368,161
Bilateral,522,182,34.86590038314176,162
Control,522,255,48.85057471264368,162
Bilateral,522,171,32.758620689655174,163
Control,522,256,49.042145593869726,163
Bilateral,522,195,37.35632183908046,164
Control,522,265,50.76628352490421,164
Bilateral,522,201,38.50574712643678,165
Control,522,276,52.87356321839081,165
Bilateral,522,199,38.122605363984675,166
Control,522,265,50.76628352490421,166
Bilateral,522,190,36.39846743295019,167
Control,522,257,49.23371647509578,167
Bilateral,522,205,39.272030651341,168
Control,522,244,46.74329501915709,168
Bilateral,522,193,36.97318007662835,169
Control,522,259,49.616858237547895,169
Bilateral,522,202,38.69731800766284,170
Control,522,228,43.67816091954023,170
Bilateral,522,198,37.93103448275862,171
Control,522,250,47.89272030651341,171
Bilateral,522,186,35.63218390804598,172
Control,522,259,49.616858237547895,172
Bilateral,522,195,37.35632183908046,173
Control,522,253,48.46743295019157,173
Bilateral,522,183,35.05747126436782,174
Control,522,258,49.42528735632184,174
Bilateral,522,181,34.67432950191571,175
Control,522,238,45.593869731800766,175
Bilateral,522,186,35.63218390804598,176
Control,522,248,47.509578544061306,176
Bilateral,522,198,37.93103448275862,177
Control,522,266,50.95785440613027,177
Bilateral,522,177,33.90804597701149,178
Control,522,271,51.91570881226054,178
Bilateral,522,171,32.758620689655174,179
Control,522,261,50.0,179
Bilateral,522,197,37.73946360153257,180
Control,522,235,45.01915708812261,180
Bilateral,522,183,35.05747126436782,181
Control,522,273,52.29885057471264,181
Bilateral,522,199,38.122605363984675,182
Control,522,256,49.042145593869726,182
Bilateral,522,210,40.229885057471265,183
Control,522,260,49.808429118773944,183
Bilateral,522,183,35.05747126436782,184
Control,522,256,49.042145593869726,184
Bilateral,522,191,36.59003831417624,185
Control,522,263,50.38314176245211,185
Bilateral,522,206,39.46360153256705,186
Control,522,258,49.42528735632184,186
Bilateral,522,195,37.35632183908046,187
Control,522,252,48.275862068965516,187
Bilateral,522,186,35.63218390804598,188
Control,522,271,51.91570881226054,188
Bilateral,522,196,37.547892720306514,189
Control,522,265,50.76628352490421,189
Bilateral,522,204,39.08045977011494,190
Control,522,274,52.490421455938694,190
Bilateral,522,196,37.547892720306514,191
Control,522,257,49.23371647509578,191
Bilateral,522,193,36.97318007662835,192
Control,522,267,51.14942528735632,192
Bilateral,522,204,39.08045977011494,193
Control,522,247,47.31800766283525,193
Bilateral,522,198,37.93103448275862,194
Control,522,232,44.44444444444444,194
Bilateral,522,190,36.39846743295019,195
Control,522,230,44.06130268199234,195
Bilateral,522,203,38.88888888888889,196
Control,522,275,52.68199233716475,196
Bilateral,522,199,38.122605363984675,197
Control,522,255,48.85057471264368,197
Bilateral,522,214,40.99616858237548,198
Control,522,240,45.97701149425287,198
Bilateral,522,206,39.46360153256705,199
Control,522,247,47.31800766283525,199
Bilateral,522,201,38.50574712643678,200
Control,522,238,45.593869731800766,200
Bilateral,522,190,36.39846743295019,201
Control,522,243,46.55172413793103,201
Bilateral,522,200,38.31417624521073,202
Control,522,248,47.509578544061306,202
Bilateral,522,185,35.440613026819925,203
Control,522,274,52.490421455938694,203
Bilateral,522,183,35.05747126436782,204
Control,522,266,50.95785440613027,204
Bilateral,522,186,35.63218390804598,205
Control,522,257,49.23371647509578,205
Bilateral,522,200,38.31417624521073,206
Control,522,254,48.65900383141762,206
Bilateral,522,183,35.05747126436782,207
Control,522,258,49.42528735632184,207
Bilateral,522,207,39.6551724137931,208
Control,522,268,51.34099616858238,208
Bilateral,522,192,36.7816091954023,209
Control,522,251,48.08429118773947,209
Bilateral,522,205,39.272030651341,210
Control,522,245,46.934865900383144,210
Bilateral,522,198,37.93103448275862,211
Control,522,257,49.23371647509578,211
Bilateral,522,198,37.93103448275862,212
Control,522,260,49.808429118773944,212
Bilateral,522,194,37.16475095785441,213
Control,522,238,45.593869731800766,213
Bilateral,522,200,38.31417624521073,214
Control,522,260,49.808429118773944,214
Bilateral,522,196,37.547892720306514,215
Control,522,258,49.42528735632184,215
Bilateral,522,182,34.86590038314176,216
Control,522,254,48.65900383141762,216
Bilateral,522,207,39.6551724137931,217
Control,522,258,49.42528735632184,217
Bilateral,522,206,39.46360153256705,218
Control,522,242,46.36015325670498,218
Bilateral,522,191,36.59003831417624,219
Control,522,257,49.23371647509578,219
Bilateral,522,188,36.015325670498086,220
Control,522,254,48.65900383141762,220
Bilateral,522,191,36.59003831417624,221
Control,522,260,49.808429118773944,221
Bilateral,522,170,32.56704980842912,222
Control,522,257,49.23371647509578,222
Bilateral,522,201,38.50574712643678,223
Control,522,274,52.490421455938694,223
Bilateral,522,199,38.122605363984675,224
Control,522,249,47.701149425287355,224
Bilateral,522,198,37.93103448275862,225
Control,522,246,47.12643678160919,225
Bilateral,522,197,37.73946360153257,226
Control,522,246,47.12643678160919,226
Bilateral,522,203,38.88888888888889,227
Control,522,244,46.74329501915709,227
Bilateral,522,196,37.547892720306514,228
Control,522,256,49.042145593869726,228
Bilateral,522,172,32.95019157088122,229
Control,522,246,47.12643678160919,229
Bilateral,522,193,36.97318007662835,230
Control,522,259,49.616858237547895,230
Bilateral,522,189,36.206896551724135,231
Control,522,245,46.934865900383144,231
Bilateral,522,183,35.05747126436782,232
Control,522,255,48.85057471264368,232
Bilateral,522,200,38.31417624521073,233
Control,522,264,50.57471264367817,233
Bilateral,522,197,37.73946360153257,234
Control,522,245,46.934865900383144,234
Bilateral,522,192,36.7816091954023,235
Control,522,252,48.275862068965516,235
Bilateral,522,196,37.547892720306514,236
Control,522,265,50.76628352490421,236
Bilateral,522,196,37.547892720306514,237
Control,522,260,49.808429118773944,237
Bilateral,522,190,36.39846743295019,238
Control,522,244,46.74329501915709,238
Bilateral,522,204,39.08045977011494,239
Control,522,257,49.23371647509578,239
Bilateral,522,186,35.63218390804598,240
Control,522,252,48.275862068965516,240
Bilateral,522,201,38.50574712643678,241
Control,522,253,48.46743295019157,241
Bilateral,522,200,38.31417624521073,242
Control,522,249,47.701149425287355,242
Bilateral,522,196,37.547892720306514,243
Control,522,260,49.808429118773944,243
Bilateral,522,195,37.35632183908046,244
Control,522,244,46.74329501915709,244
Bilateral,522,184,35.24904214559387,245
Control,522,252,48.275862068965516,245
Bilateral,522,179,34.2911877394636,246
Control,522,250,47.89272030651341,246
Bilateral,522,177,33.90804597701149,247
Control,522,260,49.808429118773944,247
Bilateral,522,172,32.95019157088122,248
Control,522,257,49.23371647509578,248
Bilateral,522,184,35.24904214559387,249
Control,522,239,45.785440613026815,249
Bilateral,522,178,34.099616858237546,250
Control,522,263,50.38314176245211,250
Bilateral,522,191,36.59003831417624,251
Control,522,253,48.46743295019157,251
Bilateral,522,192,36.7816091954023,252
Control,522,270,51.724137931034484,252
Bilateral,522,191,36.59003831417624,253
Control,522,265,50.76628352490421,253
Bilateral,522,189,36.206896551724135,254
Control,522,257,49.23371647509578,254
Bilateral,522,200,38.31417624521073,255
Control,522,248,47.509578544061306,255
Bilateral,522,185,35.440613026819925,256
Control,522,254,48.65900383141762,256
Bilateral,522,188,36.015325670498086,257
Control,522,237,45.40229885057471,257
Bilateral,522,200,38.31417624521073,258
Control,522,279,53.44827586206896,258
Bilateral,522,193,36.97318007662835,259
Control,522,258,49.42528735632184,259
Bilateral,522,182,34.86590038314176,260
Control,522,264,50.57471264367817,260
Bilateral,522,190,36.39846743295019,261
Control,522,252,48.275862068965516,261
Bilateral,522,205,39.272030651341,262
Control,522,265,50.76628352490421,262
Bilateral,522,191,36.59003831417624,263
Control,522,271,51.91570881226054,263
Bilateral,522,196,37.547892720306514,264
Control,522,265,50.76628352490421,264
Bilateral,522,192,36.7816091954023,265
Control,522,267,51.14942528735632,265
Bilateral,522,192,36.7816091954023,266
Control,522,251,48.08429118773947,266
Bilateral,522,170,32.56704980842912,267
Control,522,247,47.31800766283525,267
Bilateral,522,183,35.05747126436782,268
Control,522,259,49.616858237547895,268
Bilateral,522,194,37.16475095785441,269
Control,522,235,45.01915708812261,269
Bilateral,522,196,37.547892720306514,270
Control,522,268,51.34099616858238,270
Bilateral,522,182,34.86590038314176,271
Control,522,249,47.701149425287355,271
Bilateral,522,210,40.229885057471265,272
Control,522,271,51.91570881226054,272
Bilateral,522,190,36.39846743295019,273
Control,522,273,52.29885057471264,273
Bilateral,522,186,35.63218390804598,274
Control,522,247,47.31800766283525,274
Bilateral,522,192,36.7816091954023,275
Control,522,245,46.934865900383144,275
Bilateral,522,210,40.229885057471265,276
Control,522,255,48.85057471264368,276
Bilateral,522,200,38.31417624521073,277
Control,522,267,51.14942528735632,277
Bilateral,522,207,39.6551724137931,278
Control,522,251,48.08429118773947,278
Bilateral,522,206,39.46360153256705,279
Control,522,259,49.616858237547895,279
Bilateral,522,190,36.39846743295019,280
Control,522,247,47.31800766283525,280
Bilateral,522,177,33.90804597701149,281
Control,522,256,49.042145593869726,281
Bilateral,522,211,40.42145593869732,282
Control,522,262,50.191570881226056,282
Bilateral,522,188,36.015325670498086,283
Control,522,254,48.65900383141762,283
Bilateral,522,191,36.59003831417624,284
Control,522,264,50.57471264367817,284
Bilateral,522,191,36.59003831417624,285
Control,522,259,49.616858237547895,285
Bilateral,522,178,34.099616858237546,286
Control,522,272,52.10727969348659,286
Bilateral,522,206,39.46360153256705,287
Control,522,269,51.53256704980843,287
Bilateral,522,191,36.59003831417624,288
Control,522,260,49.808429118773944,288
Bilateral,522,199,38.122605363984675,289
Control,522,244,46.74329501915709,289
Bilateral,522,211,40.42145593869732,290
Control,522,239,45.785440613026815,290
Bilateral,522,178,34.099616858237546,291
Control,522,258,49.42528735632184,291
Bilateral,522,197,37.73946360153257,292
Control,522,248,47.509578544061306,292
Bilateral,522,208,39.84674329501915,293
Control,522,263,50.38314176245211,293
Bilateral,522,193,36.97318007662835,294
Control,522,254,48.65900383141762,294
Bilateral,522,187,35.82375478927203,295
Control,522,264,50.57471264367817,295
Bilateral,522,203,38.88888888888889,296
Control,522,251,48.08429118773947,296
Bilateral,522,167,31.992337164750957,297
Control,522,276,52.87356321839081,297
Bilateral,522,192,36.7816091954023,298
Control,522,265,50.76628352490421,298
Bilateral,522,186,35.63218390804598,299
Control,522,266,50.95785440613027,299
Bilateral,522,204,39.08045977011494,300
Control,522,264,50.57471264367817,300
Bilateral,522,202,38.69731800766284,301
Control,522,245,46.934865900383144,301
Bilateral,522,202,38.69731800766284,302
Control,522,232,44.44444444444444,302
Bilateral,522,194,37.16475095785441,303
Control,522,274,52.490421455938694,303
Bilateral,522,198,37.93103448275862,304
Control,522,266,50.95785440613027,304
Bilateral,522,176,33.71647509578544,305
Control,522,262,50.191570881226056,305
Bilateral,522,176,33.71647509578544,306
Control,522,261,50.0,306
Bilateral,522,191,36.59003831417624,307
Control,522,267,51.14942528735632,307
Bilateral,522,189,36.206896551724135,308
Control,522,280,53.63984674329502,308
Bilateral,522,198,37.93103448275862,309
Control,522,256,49.042145593869726,309
Bilateral,522,193,36.97318007662835,310
Control,522,241,46.16858237547893,310
Bilateral,522,192,36.7816091954023,311
Control,522,256,49.042145593869726,311
Bilateral,522,193,36.97318007662835,312
Control,522,257,49.23371647509578,312
Bilateral,522,180,34.48275862068966,313
Control,522,271,51.91570881226054,313
Bilateral,522,195,37.35632183908046,314
Control,522,256,49.042145593869726,314
Bilateral,522,196,37.547892720306514,315
Control,522,251,48.08429118773947,315
Bilateral,522,191,36.59003831417624,316
Control,522,259,49.616858237547895,316
Bilateral,522,198,37.93103448275862,317
Control,522,242,46.36015325670498,317
Bilateral,522,193,36.97318007662835,318
Control,522,266,50.95785440613027,318
Bilateral,522,187,35.82375478927203,319
Control,522,254,48.65900383141762,319
Bilateral,522,197,37.73946360153257,320
Control,522,258,49.42528735632184,320
Bilateral,522,183,35.05747126436782,321
Control,522,262,50.191570881226056,321
Bilateral,522,204,39.08045977011494,322
Control,522,243,46.55172413793103,322
Bilateral,522,180,34.48275862068966,323
Control,522,249,47.701149425287355,323
Bilateral,522,192,36.7816091954023,324
Control,522,266,50.95785440613027,324
Bilateral,522,182,34.86590038314176,325
Control,522,270,51.724137931034484,325
Bilateral,522,222,42.5287356321839,326
Control,522,246,47.12643678160919,326
Bilateral,522,184,35.24904214559387,327
Control,522,231,44.252873563218394,327
Bilateral,522,198,37.93103448275862,328
Control,522,239,45.785440613026815,328
Bilateral,522,184,35.24904214559387,329
Control,522,245,46.934865900383144,329
Bilateral,522,192,36.7816091954023,330
Control,522,256,49.042145593869726,330
Bilateral,522,196,37.547892720306514,331
Control,522,268,51.34099616858238,331
Bilateral,522,206,39.46360153256705,332
Control,522,258,49.42528735632184,332
Bilateral,522,184,35.24904214559387,333
Control,522,254,48.65900383141762,333
Bilateral,522,212,40.61302681992337,334
Control,522,273,52.29885057471264,334
Bilateral,522,193,36.97318007662835,335
Control,522,268,51.34099616858238,335
Bilateral,522,220,42.1455938697318,336
Control,522,251,48.08429118773947,336
Bilateral,522,178,34.099616858237546,337
Control,522,271,51.91570881226054,337
Bilateral,522,197,37.73946360153257,338
Control,522,286,54.78927203065134,338
Bilateral,522,208,39.84674329501915,339
Control,522,260,49.808429118773944,339
Bilateral,522,200,38.31417624521073,340
Control,522,253,48.46743295019157,340
Bilateral,522,183,35.05747126436782,341
Control,522,258,49.42528735632184,341
Bilateral,522,190,36.39846743295019,342
Control,522,266,50.95785440613027,342
Bilateral,522,200,38.31417624521073,343
Control,522,245,46.934865900383144,343
Bilateral,522,201,38.50574712643678,344
Control,522,253,48.46743295019157,344
Bilateral,522,188,36.015325670498086,345
Control,522,246,47.12643678160919,345
Bilateral,522,203,38.88888888888889,346
Control,522,243,46.55172413793103,346
Bilateral,522,193,36.97318007662835,347
Control,522,251,48.08429118773947,347
Bilateral,522,198,37.93103448275862,348
Control,522,252,48.275862068965516,348
Bilateral,522,202,38.69731800766284,349
Control,522,250,47.89272030651341,349
Bilateral,522,203,38.88888888888889,350
Control,522,266,50.95785440613027,350
Bilateral,522,181,34.67432950191571,351
Control,522,263,50.38314176245211,351
Bilateral,522,202,38.69731800766284,352
Control,522,261,50.0,352
Bilateral,522,174,33.33333333333333,353
Control,522,262,50.191570881226056,353
Bilateral,522,181,34.67432950191571,354
Control,522,242,46.36015325670498,354
Bilateral,522,177,33.90804597701149,355
Control,522,255,48.85057471264368,355
Bilateral,522,181,34.67432950191571,356
Control,522,241,46.16858237547893,356
Bilateral,522,188,36.015325670498086,357
Control,522,255,48.85057471264368,357
Bilateral,522,189,36.206896551724135,358
Control,522,274,52.490421455938694,358
Bilateral,522,211,40.42145593869732,359
Control,522,253,48.46743295019157,359
Bilateral,522,201,38.50574712643678,360
Control,522,258,49.42528735632184,360
Bilateral,522,187,35.82375478927203,361
Control,522,251,48.08429118773947,361
Bilateral,522,181,34.67432950191571,362
Control,522,256,49.042145593869726,362
Bilateral,522,188,36.015325670498086,363
Control,522,255,48.85057471264368,363
Bilateral,522,198,37.93103448275862,364
Control,522,259,49.616858237547895,364
Bilateral,522,186,35.63218390804598,365
Control,522,254,48.65900383141762,365
Bilateral,522,221,42.337164750957854,366
Control,522,246,47.12643678160919,366
Bilateral,522,203,38.88888888888889,367
Control,522,254,48.65900383141762,367
Bilateral,522,185,35.440613026819925,368
Control,522,262,50.191570881226056,368
Bilateral,522,189,36.206896551724135,369
Control,522,261,50.0,369
Bilateral,522,208,39.84674329501915,370
Control,522,250,47.89272030651341,370
Bilateral,522,195,37.35632183908046,371
Control,522,259,49.616858237547895,371
Bilateral,522,178,34.099616858237546,372
Control,522,268,51.34099616858238,372
Bilateral,522,185,35.440613026819925,373
Control,522,242,46.36015325670498,373
Bilateral,522,205,39.272030651341,374
Control,522,252,48.275862068965516,374
Bilateral,522,179,34.2911877394636,375
Control,522,247,47.31800766283525,375
Bilateral,522,221,42.337164750957854,376
Control,522,255,48.85057471264368,376
Bilateral,522,195,37.35632183908046,377
Control,522,259,49.616858237547895,377
