Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,noiseAtten,opto,laserOnset,laserOffset,Mask,sessionDate
16,1,271.919,0,460,1105,2857,4205,801,3.3,200,0,2,272.77,0,10,0,-150,100,1,2021-03-11 17:40:00
17,1,277.464,0,460,1105,2857,4205,801,3.3,200,0,8,278.674,1,10,0,-150,100,1,2021-03-11 17:40:00
18,0,295.667,0,730,2058,2857,4205,601,3.3,200,1,2,297.853,1,10,0,-150,100,1,2021-03-11 17:40:00
19,0,310.683,0,730,2058,2857,4205,701,-10.0,200,1,8,311.825,0,10,1,-150,100,1,2021-03-11 17:40:00
20,1,332.521,0,730,2058,2857,4205,701,-10.0,200,1,2,333.359,1,10,0,-150,100,1,2021-03-11 17:40:00
21,0,346.591,0,730,2058,2857,4205,501,-3.3,200,1,2,347.38,1,10,1,-150,100,1,2021-03-11 17:40:00
22,0,359.756,0,460,1105,2857,4205,1001,-6.7,200,0,8,360.702,1,10,1,-150,100,1,2021-03-11 17:40:00
23,0,374.876,0,730,2058,2857,4205,901,0.0,200,1,2,375.685,1,10,0,-150,100,1,2021-03-11 17:40:00
24,0,388.444,0,730,2058,2857,4205,801,6.7,200,1,2,389.426,1,10,1,-150,100,1,2021-03-11 17:40:00
25,0,401.973,0,460,1105,2857,4205,701,6.7,200,0,2,402.886,0,10,1,-150,100,1,2021-03-11 17:40:00
26,1,408.652,0,460,1105,2857,4205,701,6.7,200,0,8,409.524,1,10,0,-150,100,1,2021-03-11 17:40:00
27,0,431.771,0,460,1105,2857,4205,501,-3.3,200,0,8,433.14,1,10,0,-150,100,1,2021-03-11 17:40:00
28,0,454.311,0,460,1105,2857,4205,1001,-10.0,200,0,8,455.086,1,10,0,-150,100,1,2021-03-11 17:40:00
29,0,470.242,0,730,2058,2857,4205,601,10.0,200,1,2,471.392,1,10,0,-150,100,1,2021-03-11 17:40:00
30,0,509.067,0,460,1105,2857,4205,901,0.0,200,0,2,509.9,0,10,1,-150,100,1,2021-03-11 17:40:00
31,1,519.805,0,460,1105,2857,4205,901,0.0,200,0,8,520.8,1,10,0,-150,100,1,2021-03-11 17:40:00
32,0,531.205,0,730,2058,2857,4205,701,3.3,200,1,8,532.049,0,10,1,-150,100,1,2021-03-11 17:40:00
33,1,590.006,0,730,2058,2857,4205,701,3.3,200,1,2,591.168,1,10,0,-150,100,1,2021-03-11 17:40:00
34,0,599.145,0,730,2058,2857,4205,801,6.7,200,1,8,599.862,0,10,1,-150,100,1,2021-03-11 17:40:00
35,1,607.214,0,730,2058,2857,4205,801,6.7,200,1,8,608.22,0,10,0,-150,100,1,2021-03-11 17:40:00
36,1,615.996,0,730,2058,2857,4205,801,6.7,200,1,8,616.653,0,10,0,-150,100,1,2021-03-11 17:40:00
37,1,621.297,0,730,2058,2857,4205,801,6.7,200,1,2,622.309,1,10,0,-150,100,1,2021-03-11 17:40:00
38,0,642.904,0,730,2058,2857,4205,901,10.0,200,1,2,643.626,1,10,0,-150,100,1,2021-03-11 17:40:00
39,0,654.264,0,460,1105,2857,4205,601,3.3,200,0,2,655.007,0,10,0,-150,100,1,2021-03-11 17:40:00
