Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
23,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.86,u,56.7,-13.299999999999995
39,0,601,3.3,200,2,0,False,Restricted,2021-03-11 17:40:00,1706,opto,0.743,u,56.7,-13.299999999999995
57,0,701,3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.637,u,56.7,-13.299999999999995
63,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.906,u,56.7,-13.299999999999995
49,0,801,0.0,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.797,e,60.0,-10.0
29,0,801,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.78,e,60.0,-10.0
35,0,701,0.0,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.538,e,60.0,-10.0
29,0,801,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.78,e,60.0,-10.0
111,0,601,0.0,200,8,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.814,e,60.0,-10.0
93,0,1001,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.866,e,60.0,-10.0
111,0,601,0.0,200,8,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.814,e,60.0,-10.0
171,0,701,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.763,e,60.0,-10.0
163,0,601,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.639,e,60.0,-10.0
146,0,801,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.833,e,60.0,-10.0
163,0,601,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.639,e,60.0,-10.0
5,0,701,0.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.97,e,60.0,-10.0
52,0,601,0.0,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.77,e,60.0,-10.0
9,0,1001,0.0,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.754,u,60.0,-10.0
71,0,1001,0.0,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.791,u,60.0,-10.0
22,0,901,0.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.164,u,60.0,-10.0
105,0,801,0.0,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.659,u,60.0,-10.0
175,0,901,0.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,1.734,u,60.0,-10.0
130,0,801,0.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.782,u,60.0,-10.0
130,0,501,0.0,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.643,u,60.0,-10.0
71,0,1001,0.0,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.791,u,60.0,-10.0
22,0,901,0.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.164,u,60.0,-10.0
71,0,1001,0.0,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.791,u,60.0,-10.0
130,0,801,0.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.782,u,60.0,-10.0
71,0,1001,0.0,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.791,u,60.0,-10.0
6,0,901,0.0,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.632,u,60.0,-10.0
17,0,601,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.882,e,63.3,-6.700000000000003
78,0,601,-3.3,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.577,e,63.3,-6.700000000000003
55,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,1.176,e,63.3,-6.700000000000003
76,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.749,e,63.3,-6.700000000000003
76,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.749,e,63.3,-6.700000000000003
76,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.749,e,63.3,-6.700000000000003
135,0,1001,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.641,e,63.3,-6.700000000000003
50,0,801,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.69,e,63.3,-6.700000000000003
126,0,1001,-3.3,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,1.739,e,63.3,-6.700000000000003
83,0,801,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.539,e,63.3,-6.700000000000003
206,0,801,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.701,e,63.3,-6.700000000000003
76,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.749,e,63.3,-6.700000000000003
55,0,501,-3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,1.176,e,63.3,-6.700000000000003
43,0,801,-3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.723,u,63.3,-6.700000000000003
43,0,801,-3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.723,u,63.3,-6.700000000000003
65,0,1001,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.683,u,63.3,-6.700000000000003
27,0,501,-3.3,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.369,u,63.3,-6.700000000000003
65,0,1001,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.683,u,63.3,-6.700000000000003
27,0,501,-3.3,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.369,u,63.3,-6.700000000000003
65,0,1001,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.683,u,63.3,-6.700000000000003
43,0,801,-3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.723,u,63.3,-6.700000000000003
97,0,1001,-3.3,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.776,u,63.3,-6.700000000000003
65,0,1001,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.683,u,63.3,-6.700000000000003
27,0,501,-3.3,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.369,u,63.3,-6.700000000000003
98,0,501,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.702,u,63.3,-6.700000000000003
27,0,501,-3.3,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.369,u,63.3,-6.700000000000003
116,0,801,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.752,e,66.7,-3.299999999999997
30,0,1001,-6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.812,e,66.7,-3.299999999999997
209,0,901,-6.7,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.684,e,66.7,-3.299999999999997
136,0,701,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.626,e,66.7,-3.299999999999997
60,0,801,-6.7,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,2.26,e,66.7,-3.299999999999997
87,0,701,-6.7,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.818,e,66.7,-3.299999999999997
30,0,1001,-6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.812,e,66.7,-3.299999999999997
11,0,501,-6.7,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.191,e,66.7,-3.299999999999997
68,0,801,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.692,e,66.7,-3.299999999999997
60,0,801,-6.7,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,2.26,e,66.7,-3.299999999999997
87,0,701,-6.7,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.818,e,66.7,-3.299999999999997
