Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,True,-7.0,154,93,60.3896103896104,23
Restricted,True,-4.0,154,96,62.33766233766234,23
Restricted,True,2.0,154,93,60.3896103896104,23
Clean,False,-7.0,154,114,74.02597402597402,24
Clean,False,-4.0,154,124,80.51948051948052,24
Clean,False,2.0,154,125,81.16883116883116,24
Clean,True,-7.0,154,121,78.57142857142857,24
Clean,True,-4.0,154,137,88.96103896103897,24
Clean,True,2.0,154,130,84.4155844155844,24
Restricted,False,-7.0,154,100,64.93506493506493,24
Restricted,False,-4.0,154,106,68.83116883116884,24
Restricted,False,2.0,154,110,71.42857142857143,24
Restricted,True,-7.0,154,91,59.09090909090909,24
Restricted,True,-4.0,154,105,68.18181818181817,24
Restricted,True,2.0,154,93,60.3896103896104,24
Clean,False,-7.0,154,122,79.22077922077922,25
Clean,False,-4.0,154,119,77.27272727272727,25
Clean,False,2.0,154,131,85.06493506493507,25
Clean,True,-7.0,154,123,79.87012987012987,25
Clean,True,-4.0,154,143,92.85714285714286,25
Clean,True,2.0,154,117,75.97402597402598,25
Restricted,False,-7.0,154,106,68.83116883116884,25
Restricted,False,-4.0,154,101,65.5844155844156,25
Restricted,False,2.0,154,116,75.32467532467533,25
Restricted,True,-7.0,154,90,58.44155844155844,25
Restricted,True,-4.0,154,81,52.5974025974026,25
Restricted,True,2.0,154,86,55.84415584415584,25
Clean,False,-7.0,154,108,70.12987012987013,26
Clean,False,-4.0,154,127,82.46753246753246,26
Clean,False,2.0,154,130,84.4155844155844,26
Clean,True,-7.0,154,123,79.87012987012987,26
Clean,True,-4.0,154,135,87.66233766233766,26
Clean,True,2.0,154,120,77.92207792207793,26
Restricted,False,-7.0,154,99,64.28571428571429,26
Restricted,False,-4.0,154,102,66.23376623376623,26
Restricted,False,2.0,154,110,71.42857142857143,26
Restricted,True,-7.0,154,92,59.74025974025974,26
Restricted,True,-4.0,154,97,62.98701298701299,26
Restricted,True,2.0,154,92,59.74025974025974,26
Clean,False,-7.0,154,116,75.32467532467533,27
Clean,False,-4.0,154,123,79.87012987012987,27
Clean,False,2.0,154,127,82.46753246753246,27
Clean,True,-7.0,154,117,75.97402597402598,27
Clean,True,-4.0,154,139,90.25974025974025,27
Clean,True,2.0,154,130,84.4155844155844,27
Restricted,False,-7.0,154,92,59.74025974025974,27
Restricted,False,-4.0,154,106,68.83116883116884,27
Restricted,False,2.0,154,108,70.12987012987013,27
Restricted,True,-7.0,154,88,57.14285714285714,27
Restricted,True,-4.0,154,87,56.493506493506494,27
Restricted,True,2.0,154,85,55.1948051948052,27
Clean,False,-7.0,154,107,69.48051948051948,28
Clean,False,-4.0,154,122,79.22077922077922,28
Clean,False,2.0,154,128,83.11688311688312,28
Clean,True,-7.0,154,124,80.51948051948052,28
Clean,True,-4.0,154,148,96.1038961038961,28
Clean,True,2.0,154,124,80.51948051948052,28
Restricted,False,-7.0,154,100,64.93506493506493,28
Restricted,False,-4.0,154,106,68.83116883116884,28
Restricted,False,2.0,154,116,75.32467532467533,28
Restricted,True,-7.0,154,75,48.701298701298704,28
Restricted,True,-4.0,154,96,62.33766233766234,28
Restricted,True,2.0,154,89,57.7922077922078,28
Clean,False,-7.0,154,119,77.27272727272727,29
Clean,False,-4.0,154,118,76.62337662337663,29
Clean,False,2.0,154,123,79.87012987012987,29
Clean,True,-7.0,154,120,77.92207792207793,29
Clean,True,-4.0,154,136,88.31168831168831,29
Clean,True,2.0,154,123,79.87012987012987,29
Restricted,False,-7.0,154,104,67.53246753246754,29
Restricted,False,-4.0,154,102,66.23376623376623,29
Restricted,False,2.0,154,119,77.27272727272727,29
Restricted,True,-7.0,154,82,53.246753246753244,29
Restricted,True,-4.0,154,85,55.1948051948052,29
Restricted,True,2.0,154,100,64.93506493506493,29
Clean,False,-7.0,154,106,68.83116883116884,30
Clean,False,-4.0,154,127,82.46753246753246,30
Clean,False,2.0,154,130,84.4155844155844,30
Clean,True,-7.0,154,116,75.32467532467533,30
Clean,True,-4.0,154,139,90.25974025974025,30
Clean,True,2.0,154,122,79.22077922077922,30
Restricted,False,-7.0,154,100,64.93506493506493,30
Restricted,False,-4.0,154,100,64.93506493506493,30
Restricted,False,2.0,154,110,71.42857142857143,30
Restricted,True,-7.0,154,89,57.7922077922078,30
Restricted,True,-4.0,154,88,57.14285714285714,30
Restricted,True,2.0,154,83,53.896103896103895,30
Clean,False,-7.0,154,108,70.12987012987013,31
Clean,False,-4.0,154,127,82.46753246753246,31
Clean,False,2.0,154,128,83.11688311688312,31
Clean,True,-7.0,154,120,77.92207792207793,31
Clean,True,-4.0,154,139,90.25974025974025,31
Clean,True,2.0,154,120,77.92207792207793,31
Restricted,False,-7.0,154,103,66.88311688311688,31
Restricted,False,-4.0,154,110,71.42857142857143,31
Restricted,False,2.0,154,112,72.72727272727273,31
Restricted,True,-7.0,154,87,56.493506493506494,31
Restricted,True,-4.0,154,95,61.68831168831169,31
Restricted,True,2.0,154,84,54.54545454545454,31
Clean,False,-7.0,154,119,77.27272727272727,32
Clean,False,-4.0,154,120,77.92207792207793,32
Clean,False,2.0,154,129,83.76623376623377,32
Clean,True,-7.0,154,129,83.76623376623377,32
Clean,True,-4.0,154,140,90.9090909090909,32
Clean,True,2.0,154,119,77.27272727272727,32
Restricted,False,-7.0,154,97,62.98701298701299,32
