Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,Mask,LeftTemperature,RightTemperature,fNum,method,sessionDate,rxnTime,vowel,vowel_level,SNR,meanTemp,treatment
55,1,701,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,4.049,u,60.5,-9.5,37.0,False
33,0,501,-0.5,200,1,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,3.9526,u,60.5,-9.5,37.0,False
55,1,701,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,4.049,u,60.5,-9.5,37.0,False
79,0,901,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0586,u,60.5,-9.5,37.0,False
67,0,901,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.7608,u,60.5,-9.5,37.0,False
67,0,901,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.7608,u,60.5,-9.5,37.0,False
55,1,701,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,4.049,u,60.5,-9.5,37.0,False
104,0,851,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.206,u,60.5,-9.5,37.0,False
34,0,701,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3952,u,60.5,-9.5,37.0,False
93,0,851,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3497,u,60.5,-9.5,37.0,False
104,0,601,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.203,u,60.5,-9.5,37.0,False
34,0,701,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3952,u,60.5,-9.5,37.0,False
104,0,601,-0.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.203,u,60.5,-9.5,37.0,False
33,0,501,-0.5,200,1,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,3.9526,u,60.5,-9.5,37.0,False
97,1,1001,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,5.6388,e,63.5,-6.5,37.0,False
3,0,801,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8494,e,63.5,-6.5,37.0,False
70,0,951,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,6.5351,e,63.5,-6.5,37.0,False
3,0,801,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8494,e,63.5,-6.5,37.0,False
90,0,1001,-3.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.8651,e,63.5,-6.5,37.0,False
23,0,1001,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1315,e,63.5,-6.5,37.0,False
90,0,1001,-3.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.8651,e,63.5,-6.5,37.0,False
90,0,1001,-3.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.8651,e,63.5,-6.5,37.0,False
33,0,801,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2404,e,63.5,-6.5,37.0,False
33,0,801,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2404,e,63.5,-6.5,37.0,False
23,0,1001,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1315,e,63.5,-6.5,37.0,False
33,0,801,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2404,e,63.5,-6.5,37.0,False
3,0,801,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8494,e,63.5,-6.5,37.0,False
97,1,1001,-3.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,5.6388,e,63.5,-6.5,37.0,False
52,0,951,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8001,u,63.5,-6.5,37.0,False
15,0,501,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.4065,u,63.5,-6.5,37.0,False
94,0,751,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.7861,u,63.5,-6.5,37.0,False
83,0,901,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.4777,u,63.5,-6.5,37.0,False
52,0,951,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8001,u,63.5,-6.5,37.0,False
52,0,951,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8001,u,63.5,-6.5,37.0,False
31,0,951,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6184,u,63.5,-6.5,37.0,False
73,0,551,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,2.1462,u,63.5,-6.5,37.0,False
15,0,501,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.4065,u,63.5,-6.5,37.0,False
31,0,951,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6184,u,63.5,-6.5,37.0,False
83,0,901,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.4777,u,63.5,-6.5,37.0,False
31,0,951,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6184,u,63.5,-6.5,37.0,False
73,0,551,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,2.1462,u,63.5,-6.5,37.0,False
83,0,901,-3.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.4777,u,63.5,-6.5,37.0,False
79,0,501,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2822,e,69.5,-0.5,37.0,False
46,0,701,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.9385,e,69.5,-0.5,37.0,False
26,0,851,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.8973,e,69.5,-0.5,37.0,False
88,0,501,-9.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,2.543,e,69.5,-0.5,37.0,False
46,0,701,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.9385,e,69.5,-0.5,37.0,False
102,0,601,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.0697,e,69.5,-0.5,37.0,False
79,0,501,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2822,e,69.5,-0.5,37.0,False
79,0,501,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2822,e,69.5,-0.5,37.0,False
16,0,951,-9.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.6081,e,69.5,-0.5,37.0,False
16,0,951,-9.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.6081,e,69.5,-0.5,37.0,False
16,0,951,-9.5,200,1,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.6081,e,69.5,-0.5,37.0,False
46,0,701,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.9385,e,69.5,-0.5,37.0,False
79,0,501,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.2822,e,69.5,-0.5,37.0,False
102,0,601,-9.5,200,0,0,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.0697,e,69.5,-0.5,37.0,False
14,0,851,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1836,u,69.5,-0.5,37.0,False
19,0,551,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.363,u,69.5,-0.5,37.0,False
14,0,851,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1836,u,69.5,-0.5,37.0,False
14,0,851,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1836,u,69.5,-0.5,37.0,False
14,0,851,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1836,u,69.5,-0.5,37.0,False
19,0,551,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.363,u,69.5,-0.5,37.0,False
72,0,601,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6105,u,69.5,-0.5,37.0,False
34,0,651,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.9311,u,69.5,-0.5,37.0,False
72,0,601,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6105,u,69.5,-0.5,37.0,False
14,0,851,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1836,u,69.5,-0.5,37.0,False
104,0,901,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6152,u,69.5,-0.5,37.0,False
104,0,901,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6152,u,69.5,-0.5,37.0,False
14,0,851,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,1.1836,u,69.5,-0.5,37.0,False
72,0,601,-9.5,200,0,1,Clean,37.0,37.0,1509,cool,2015-11-24 08:48:00,0.6105,u,69.5,-0.5,37.0,False
17,0,851,8.5,200,0,0,Clean,20.0,20.0,1509,cool,2016-01-29 16:29:00,1.6267,e,51.5,-18.5,20.0,True
57,0,651,8.5,200,1,1,Clean,14.0,14.0,1509,cool,2016-01-29 16:29:00,1.5873,e,51.5,-18.5,14.0,True
34,0,701,8.5,200,1,1,Clean,8.0,8.0,1509,cool,2016-02-26 17:03:00,1.4209,e,51.5,-18.5,8.0,True
55,0,901,8.5,200,1,1,Clean,8.0,8.0,1509,cool,2016-02-25 16:18:00,1.5278,e,51.5,-18.5,8.0,True
5,0,551,8.5,200,1,1,Clean,10.0,10.0,1509,cool,2016-02-24 16:20:00,1.5426,e,51.5,-18.5,10.0,True
100,0,901,8.5,200,1,1,Clean,8.0,8.0,1509,cool,2016-02-23 16:44:00,1.7315,e,51.5,-18.5,8.0,True
34,0,701,8.5,200,1,1,Clean,8.0,8.0,1509,cool,2016-02-26 17:03:00,1.4209,e,51.5,-18.5,8.0,True
78,0,951,8.5,200,0,0,Clean,8.0,8.0,1509,cool,2016-02-26 17:03:00,0.6676,e,51.5,-18.5,8.0,True
66,0,501,8.5,200,1,1,Clean,10.0,10.0,1509,cool,2016-01-27 16:43:00,1.5023,e,51.5,-18.5,10.0,True
