Mask,treatment,rnded_SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,False,2.0,4,3,75.0,15
Restricted,True,-7.0,4,3,75.0,15
Restricted,True,-4.0,4,2,50.0,15
Restricted,True,-1.0,4,2,50.0,15
Restricted,True,2.0,4,1,25.0,15
Clean,False,-7.0,4,4,100.0,16
Clean,False,-4.0,4,3,75.0,16
Clean,False,2.0,4,4,100.0,16
Clean,True,-7.0,4,3,75.0,16
Clean,True,-4.0,4,3,75.0,16
Clean,True,2.0,4,3,75.0,16
Restricted,False,-7.0,4,3,75.0,16
Restricted,False,-4.0,4,3,75.0,16
Restricted,False,-1.0,4,3,75.0,16
Restricted,False,2.0,4,2,50.0,16
Restricted,True,-7.0,4,2,50.0,16
Restricted,True,-4.0,4,2,50.0,16
Restricted,True,-1.0,4,3,75.0,16
Restricted,True,2.0,4,3,75.0,16
Clean,False,-7.0,4,3,75.0,17
Clean,False,-4.0,4,2,50.0,17
Clean,False,2.0,4,3,75.0,17
Clean,True,-7.0,4,4,100.0,17
Clean,True,-4.0,4,4,100.0,17
Clean,True,2.0,4,3,75.0,17
Restricted,False,-7.0,4,3,75.0,17
Restricted,False,-4.0,4,4,100.0,17
Restricted,False,-1.0,4,3,75.0,17
Restricted,False,2.0,4,2,50.0,17
Restricted,True,-7.0,4,2,50.0,17
Restricted,True,-4.0,4,3,75.0,17
Restricted,True,-1.0,4,2,50.0,17
Restricted,True,2.0,4,1,25.0,17
Clean,False,-7.0,4,3,75.0,18
Clean,False,-4.0,4,3,75.0,18
Clean,False,2.0,4,3,75.0,18
Clean,True,-7.0,4,3,75.0,18
Clean,True,-4.0,4,4,100.0,18
Clean,True,2.0,4,3,75.0,18
Restricted,False,-7.0,4,3,75.0,18
Restricted,False,-4.0,4,2,50.0,18
Restricted,False,-1.0,4,3,75.0,18
Restricted,False,2.0,4,3,75.0,18
Restricted,True,-7.0,4,3,75.0,18
Restricted,True,-4.0,4,2,50.0,18
Restricted,True,-1.0,4,2,50.0,18
Restricted,True,2.0,4,2,50.0,18
Clean,False,-7.0,4,3,75.0,19
Clean,False,-4.0,4,3,75.0,19
Clean,False,2.0,4,3,75.0,19
Clean,True,-7.0,4,3,75.0,19
Clean,True,-4.0,4,3,75.0,19
Clean,True,2.0,4,3,75.0,19
Restricted,False,-7.0,4,1,25.0,19
Restricted,False,-4.0,4,4,100.0,19
Restricted,False,-1.0,4,3,75.0,19
Restricted,False,2.0,4,4,100.0,19
Restricted,True,-7.0,4,2,50.0,19
Restricted,True,-4.0,4,3,75.0,19
Restricted,True,-1.0,4,2,50.0,19
Restricted,True,2.0,4,4,100.0,19
Clean,False,-7.0,4,3,75.0,20
Clean,False,-4.0,4,2,50.0,20
Clean,False,2.0,4,3,75.0,20
Clean,True,-7.0,4,4,100.0,20
Clean,True,-4.0,4,4,100.0,20
Clean,True,2.0,4,3,75.0,20
Restricted,False,-7.0,4,2,50.0,20
Restricted,False,-4.0,4,4,100.0,20
Restricted,False,-1.0,4,3,75.0,20
Restricted,False,2.0,4,4,100.0,20
Restricted,True,-7.0,4,3,75.0,20
Restricted,True,-4.0,4,4,100.0,20
Restricted,True,-1.0,4,2,50.0,20
Restricted,True,2.0,4,3,75.0,20
Clean,False,-7.0,4,2,50.0,21
Clean,False,-4.0,4,3,75.0,21
Clean,False,2.0,4,3,75.0,21
Clean,True,-7.0,4,3,75.0,21
Clean,True,-4.0,4,4,100.0,21
Clean,True,2.0,4,4,100.0,21
Restricted,False,-7.0,4,2,50.0,21
Restricted,False,-4.0,4,2,50.0,21
Restricted,False,-1.0,4,3,75.0,21
Restricted,False,2.0,4,4,100.0,21
Restricted,True,-7.0,4,3,75.0,21
Restricted,True,-4.0,4,4,100.0,21
Restricted,True,-1.0,4,2,50.0,21
Restricted,True,2.0,4,2,50.0,21
Clean,False,-7.0,4,3,75.0,22
Clean,False,-4.0,4,3,75.0,22
Clean,False,2.0,4,3,75.0,22
Clean,True,-7.0,4,4,100.0,22
Clean,True,-4.0,4,3,75.0,22
Clean,True,2.0,4,2,50.0,22
Restricted,False,-7.0,4,3,75.0,22
Restricted,False,-4.0,4,2,50.0,22
Restricted,False,-1.0,4,3,75.0,22
Restricted,False,2.0,4,4,100.0,22
Restricted,True,-7.0,4,3,75.0,22
Restricted,True,-4.0,4,4,100.0,22
Restricted,True,-1.0,4,3,75.0,22
Restricted,True,2.0,4,3,75.0,22
Clean,False,-7.0,4,3,75.0,23
Clean,False,-4.0,4,4,100.0,23
Clean,False,2.0,4,4,100.0,23
Clean,True,-7.0,4,3,75.0,23
Clean,True,-4.0,4,4,100.0,23
Clean,True,2.0,4,4,100.0,23
Restricted,False,-7.0,4,1,25.0,23
Restricted,False,-4.0,4,4,100.0,23
Restricted,False,-1.0,4,3,75.0,23
Restricted,False,2.0,4,3,75.0,23
Restricted,True,-7.0,4,0,0.0,23
Restricted,True,-4.0,4,1,25.0,23
Restricted,True,-1.0,4,2,50.0,23
Restricted,True,2.0,4,2,50.0,23
Clean,False,-7.0,4,2,50.0,24
Clean,False,-4.0,4,4,100.0,24
Clean,False,2.0,4,3,75.0,24
Clean,True,-7.0,4,2,50.0,24
Clean,True,-4.0,4,4,100.0,24
Clean,True,2.0,4,3,75.0,24
Restricted,False,-7.0,4,4,100.0,24
Restricted,False,-4.0,4,2,50.0,24
Restricted,False,-1.0,4,3,75.0,24
Restricted,False,2.0,4,2,50.0,24
Restricted,True,-7.0,4,3,75.0,24
Restricted,True,-4.0,4,2,50.0,24
Restricted,True,-1.0,4,3,75.0,24
Restricted,True,2.0,4,3,75.0,24
Clean,False,-7.0,4,2,50.0,25
Clean,False,-4.0,4,4,100.0,25
Clean,False,2.0,4,2,50.0,25
Clean,True,-7.0,4,3,75.0,25
Clean,True,-4.0,4,3,75.0,25
Clean,True,2.0,4,4,100.0,25
Restricted,False,-7.0,4,3,75.0,25
Restricted,False,-4.0,4,3,75.0,25
Restricted,False,-1.0,4,3,75.0,25
Restricted,False,2.0,4,2,50.0,25
Restricted,True,-7.0,4,2,50.0,25
Restricted,True,-4.0,4,3,75.0,25
Restricted,True,-1.0,4,2,50.0,25
Restricted,True,2.0,4,1,25.0,25
Clean,False,-7.0,4,2,50.0,26
Clean,False,-4.0,4,4,100.0,26
Clean,False,2.0,4,4,100.0,26
Clean,True,-7.0,4,3,75.0,26
Clean,True,-4.0,4,3,75.0,26
Clean,True,2.0,4,3,75.0,26
Restricted,False,-7.0,4,2,50.0,26
Restricted,False,-4.0,4,3,75.0,26
Restricted,False,-1.0,4,3,75.0,26
Restricted,False,2.0,4,3,75.0,26
Restricted,True,-7.0,4,2,50.0,26
Restricted,True,-4.0,4,3,75.0,26
Restricted,True,-1.0,4,3,75.0,26
Restricted,True,2.0,4,2,50.0,26
Clean,False,-7.0,4,4,100.0,27
Clean,False,-4.0,4,3,75.0,27
Clean,False,2.0,4,2,50.0,27
Clean,True,-7.0,4,3,75.0,27
Clean,True,-4.0,4,3,75.0,27
Clean,True,2.0,4,4,100.0,27
Restricted,False,-7.0,4,4,100.0,27
Restricted,False,-4.0,4,2,50.0,27
Restricted,False,-1.0,4,3,75.0,27
Restricted,False,2.0,4,3,75.0,27
Restricted,True,-7.0,4,4,100.0,27
Restricted,True,-4.0,4,2,50.0,27
Restricted,True,-1.0,4,3,75.0,27
Restricted,True,2.0,4,3,75.0,27
Clean,False,-7.0,4,4,100.0,28
Clean,False,-4.0,4,3,75.0,28
Clean,False,2.0,4,4,100.0,28
Clean,True,-7.0,4,4,100.0,28
Clean,True,-4.0,4,4,100.0,28
Clean,True,2.0,4,3,75.0,28
Restricted,False,-7.0,4,2,50.0,28
Restricted,False,-4.0,4,4,100.0,28
Restricted,False,-1.0,4,3,75.0,28
Restricted,False,2.0,4,3,75.0,28
Restricted,True,-7.0,4,2,50.0,28
Restricted,True,-4.0,4,3,75.0,28
Restricted,True,-1.0,4,3,75.0,28
