Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Restricted,True,18,12,66.66666666666666,52
Clean,False,18,17,94.44444444444444,53
Clean,True,18,17,94.44444444444444,53
Restricted,False,18,11,61.111111111111114,53
Restricted,True,18,12,66.66666666666666,53
Clean,False,18,18,100.0,54
Clean,True,18,15,83.33333333333334,54
Restricted,False,18,14,77.77777777777779,54
Restricted,True,18,11,61.111111111111114,54
Clean,False,18,14,77.77777777777779,55
Clean,True,18,13,72.22222222222221,55
Restricted,False,18,14,77.77777777777779,55
Restricted,True,18,11,61.111111111111114,55
Clean,False,18,16,88.88888888888889,56
Clean,True,18,16,88.88888888888889,56
Restricted,False,18,11,61.111111111111114,56
Restricted,True,18,10,55.55555555555556,56
Clean,False,18,16,88.88888888888889,57
Clean,True,18,15,83.33333333333334,57
Restricted,False,18,12,66.66666666666666,57
Restricted,True,18,7,38.88888888888889,57
Clean,False,18,18,100.0,58
Clean,True,18,15,83.33333333333334,58
Restricted,False,18,14,77.77777777777779,58
Restricted,True,18,8,44.44444444444444,58
Clean,False,18,15,83.33333333333334,59
Clean,True,18,14,77.77777777777779,59
Restricted,False,18,13,72.22222222222221,59
Restricted,True,18,13,72.22222222222221,59
Clean,False,18,12,66.66666666666666,60
Clean,True,18,15,83.33333333333334,60
Restricted,False,18,13,72.22222222222221,60
Restricted,True,18,9,50.0,60
Clean,False,18,18,100.0,61
Clean,True,18,14,77.77777777777779,61
Restricted,False,18,13,72.22222222222221,61
Restricted,True,18,10,55.55555555555556,61
Clean,False,18,14,77.77777777777779,62
Clean,True,18,16,88.88888888888889,62
Restricted,False,18,13,72.22222222222221,62
Restricted,True,18,12,66.66666666666666,62
Clean,False,18,17,94.44444444444444,63
Clean,True,18,13,72.22222222222221,63
Restricted,False,18,14,77.77777777777779,63
Restricted,True,18,7,38.88888888888889,63
Clean,False,18,15,83.33333333333334,64
Clean,True,18,15,83.33333333333334,64
Restricted,False,18,16,88.88888888888889,64
Restricted,True,18,12,66.66666666666666,64
Clean,False,18,15,83.33333333333334,65
Clean,True,18,15,83.33333333333334,65
Restricted,False,18,9,50.0,65
Restricted,True,18,8,44.44444444444444,65
Clean,False,18,16,88.88888888888889,66
Clean,True,18,14,77.77777777777779,66
Restricted,False,18,11,61.111111111111114,66
Restricted,True,18,9,50.0,66
Clean,False,18,15,83.33333333333334,67
Clean,True,18,14,77.77777777777779,67
Restricted,False,18,12,66.66666666666666,67
Restricted,True,18,9,50.0,67
Clean,False,18,14,77.77777777777779,68
Clean,True,18,15,83.33333333333334,68
Restricted,False,18,13,72.22222222222221,68
Restricted,True,18,10,55.55555555555556,68
Clean,False,18,15,83.33333333333334,69
Clean,True,18,16,88.88888888888889,69
Restricted,False,18,12,66.66666666666666,69
Restricted,True,18,11,61.111111111111114,69
Clean,False,18,14,77.77777777777779,70
Clean,True,18,16,88.88888888888889,70
Restricted,False,18,13,72.22222222222221,70
Restricted,True,18,12,66.66666666666666,70
Clean,False,18,13,72.22222222222221,71
Clean,True,18,16,88.88888888888889,71
Restricted,False,18,14,77.77777777777779,71
Restricted,True,18,6,33.33333333333333,71
Clean,False,18,15,83.33333333333334,72
Clean,True,18,16,88.88888888888889,72
Restricted,False,18,12,66.66666666666666,72
Restricted,True,18,9,50.0,72
Clean,False,18,17,94.44444444444444,73
Clean,True,18,17,94.44444444444444,73
Restricted,False,18,14,77.77777777777779,73
Restricted,True,18,10,55.55555555555556,73
Clean,False,18,17,94.44444444444444,74
Clean,True,18,15,83.33333333333334,74
Restricted,False,18,15,83.33333333333334,74
Restricted,True,18,9,50.0,74
Clean,False,18,14,77.77777777777779,75
Clean,True,18,18,100.0,75
Restricted,False,18,12,66.66666666666666,75
Restricted,True,18,9,50.0,75
Clean,False,18,16,88.88888888888889,76
Clean,True,18,13,72.22222222222221,76
Restricted,False,18,15,83.33333333333334,76
Restricted,True,18,11,61.111111111111114,76
Clean,False,18,16,88.88888888888889,77
Clean,True,18,14,77.77777777777779,77
Restricted,False,18,11,61.111111111111114,77
Restricted,True,18,10,55.55555555555556,77
Clean,False,18,15,83.33333333333334,78
Clean,True,18,17,94.44444444444444,78
Restricted,False,18,14,77.77777777777779,78
Restricted,True,18,9,50.0,78
Clean,False,18,14,77.77777777777779,79
Clean,True,18,15,83.33333333333334,79
Restricted,False,18,15,83.33333333333334,79
Restricted,True,18,10,55.55555555555556,79
Clean,False,18,15,83.33333333333334,80
Clean,True,18,15,83.33333333333334,80
Restricted,False,18,14,77.77777777777779,80
Restricted,True,18,10,55.55555555555556,80
Clean,False,18,17,94.44444444444444,81
Clean,True,18,16,88.88888888888889,81
Restricted,False,18,14,77.77777777777779,81
Restricted,True,18,12,66.66666666666666,81
Clean,False,18,17,94.44444444444444,82
Clean,True,18,14,77.77777777777779,82
Restricted,False,18,14,77.77777777777779,82
Restricted,True,18,11,61.111111111111114,82
Clean,False,18,16,88.88888888888889,83
Clean,True,18,16,88.88888888888889,83
Restricted,False,18,13,72.22222222222221,83
Restricted,True,18,8,44.44444444444444,83
Clean,False,18,15,83.33333333333334,84
Clean,True,18,15,83.33333333333334,84
Restricted,False,18,14,77.77777777777779,84
Restricted,True,18,8,44.44444444444444,84
Clean,False,18,15,83.33333333333334,85
Clean,True,18,14,77.77777777777779,85
Restricted,False,18,16,88.88888888888889,85
Restricted,True,18,9,50.0,85
Clean,False,18,16,88.88888888888889,86
Clean,True,18,14,77.77777777777779,86
Restricted,False,18,12,66.66666666666666,86
Restricted,True,18,7,38.88888888888889,86
Clean,False,18,15,83.33333333333334,87
Clean,True,18,13,72.22222222222221,87
Restricted,False,18,14,77.77777777777779,87
Restricted,True,18,9,50.0,87
Clean,False,18,13,72.22222222222221,88
Clean,True,18,15,83.33333333333334,88
Restricted,False,18,13,72.22222222222221,88
Restricted,True,18,11,61.111111111111114,88
Clean,False,18,15,83.33333333333334,89
Clean,True,18,13,72.22222222222221,89
Restricted,False,18,14,77.77777777777779,89
Restricted,True,18,11,61.111111111111114,89
Clean,False,18,18,100.0,90
Clean,True,18,15,83.33333333333334,90
Restricted,False,18,16,88.88888888888889,90
Restricted,True,18,8,44.44444444444444,90
Clean,False,18,15,83.33333333333334,91
Clean,True,18,16,88.88888888888889,91
Restricted,False,18,14,77.77777777777779,91
Restricted,True,18,10,55.55555555555556,91
Clean,False,18,17,94.44444444444444,92
Clean,True,18,15,83.33333333333334,92
Restricted,False,18,17,94.44444444444444,92
Restricted,True,18,9,50.0,92
Clean,False,18,14,77.77777777777779,93
Clean,True,18,15,83.33333333333334,93
Restricted,False,18,16,88.88888888888889,93
Restricted,True,18,10,55.55555555555556,93
Clean,False,18,16,88.88888888888889,94
Clean,True,18,11,61.111111111111114,94
Restricted,False,18,13,72.22222222222221,94
Restricted,True,18,11,61.111111111111114,94
Clean,False,18,18,100.0,95
Clean,True,18,13,72.22222222222221,95
